payment_id,order_id,payment_type,payment_value
PAY00185,ORD00185,UPI,3476
PAY00186,ORD00186,COD,8161
PAY00187,ORD00187,Wallet,9859
PAY00188,ORD00188,UPI,1924
PAY00189,ORD00189,UPI,7894
PAY00190,ORD00190,Card,4705
PAY00191,ORD00191,Card,5670
PAY00192,ORD00192,UPI,7312
PAY00193,ORD00193,COD,584
PAY00194,ORD00194,UPI,928
PAY00195,ORD00195,Card,11630
PAY00196,ORD00196,COD,8176
PAY00197,ORD00197,Wallet,7360
PAY00198,ORD00198,Wallet,9198
PAY00199,ORD00199,COD,11443
PAY00200,ORD00200,Wallet,10145
PAY00201,ORD00201,Wallet,7065
PAY00202,ORD00202,COD,11892
PAY00203,ORD00203,Card,9604
PAY00204,ORD00204,Wallet,3542
PAY00205,ORD00205,Card,2239
PAY00206,ORD00206,COD,7445
PAY00207,ORD00207,COD,5011
PAY00208,ORD00208,Wallet,9634
PAY00209,ORD00209,UPI,8159
PAY00210,ORD00210,UPI,10333
PAY00211,ORD00211,UPI,7189
PAY00212,ORD00212,Wallet,5977
PAY00213,ORD00213,COD,1381
PAY00214,ORD00214,UPI,3044
PAY00215,ORD00215,Wallet,6999
PAY00216,ORD00216,Card,10059
PAY00217,ORD00217,Wallet,11363
PAY00218,ORD00218,COD,6712
PAY00219,ORD00219,UPI,6395
PAY00220,ORD00220,UPI,1623
PAY00221,ORD00221,Wallet,7971
PAY00222,ORD00222,Card,5702
PAY00223,ORD00223,Wallet,8940
PAY00224,ORD00224,COD,8412
PAY00225,ORD00225,COD,2448
PAY00226,ORD00226,Card,7600
PAY00227,ORD00227,Wallet,4179
PAY00228,ORD00228,UPI,5134
PAY00229,ORD00229,UPI,11845
PAY00230,ORD00230,UPI,1019
PAY00231,ORD00231,Card,4309
PAY00232,ORD00232,COD,7510
PAY00233,ORD00233,COD,3991
PAY00234,ORD00234,COD,971
PAY00235,ORD00235,Wallet,1892
PAY00236,ORD00236,COD,1615
PAY00237,ORD00237,Card,6867
PAY00238,ORD00238,Wallet,5033
PAY00239,ORD00239,Wallet,10477
PAY00240,ORD00240,Card,4486
PAY00241,ORD00241,COD,4720
PAY00242,ORD00242,COD,10149
PAY00243,ORD00243,Wallet,1824
PAY00244,ORD00244,Card,5373
PAY00245,ORD00245,COD,1620
PAY00246,ORD00246,Card,6114
PAY00247,ORD00247,Wallet,10368
PAY00248,ORD00248,Wallet,11999
PAY00249,ORD00249,COD,10266
PAY00250,ORD00250,Card,4536
PAY00251,ORD00251,UPI,9035
PAY00252,ORD00252,Card,2346
PAY00253,ORD00253,Wallet,3364
PAY00254,ORD00254,Wallet,6772
PAY00255,ORD00255,UPI,3639
PAY00256,ORD00256,Wallet,2091
PAY00257,ORD00257,Card,8235
PAY00258,ORD00258,Card,4481
PAY00259,ORD00259,UPI,8721
PAY00260,ORD00260,Wallet,11157
PAY00261,ORD00261,COD,855
PAY00262,ORD00262,COD,1616
PAY00263,ORD00263,Wallet,11040
PAY00264,ORD00264,UPI,5012
PAY00265,ORD00265,Wallet,5537
PAY00266,ORD00266,COD,5615
PAY00267,ORD00267,Card,10157
PAY00268,ORD00268,UPI,996
PAY00269,ORD00269,Card,1466
PAY00270,ORD00270,UPI,4743
PAY00271,ORD00271,UPI,10200
PAY00272,ORD00272,COD,5060
PAY00273,ORD00273,COD,6669
PAY00274,ORD00274,Wallet,3467
PAY00275,ORD00275,Wallet,9721
PAY00276,ORD00276,Wallet,1668
PAY00277,ORD00277,Card,8305
PAY00278,ORD00278,Wallet,5341
PAY00279,ORD00279,Card,1192
PAY00280,ORD00280,COD,2320
PAY00281,ORD00281,Wallet,10819
PAY00282,ORD00282,UPI,7834
PAY00283,ORD00283,Wallet,8684
PAY00284,ORD00284,UPI,6488
PAY00285,ORD00285,COD,5002
PAY00286,ORD00286,COD,4839
PAY00287,ORD00287,COD,3198
PAY00288,ORD00288,Card,7612
PAY00289,ORD00289,COD,1859
PAY00290,ORD00290,UPI,8034
PAY00291,ORD00291,COD,1678
PAY00292,ORD00292,Wallet,8589
PAY00293,ORD00293,UPI,3251
PAY00294,ORD00294,COD,10485
PAY00295,ORD00295,Wallet,11018
PAY00296,ORD00296,UPI,4673
PAY00297,ORD00297,COD,1672
PAY00298,ORD00298,UPI,2203
PAY00299,ORD00299,COD,3258
PAY00300,ORD00300,Wallet,7873
PAY00301,ORD00301,UPI,4691
PAY00302,ORD00302,COD,6241
PAY00303,ORD00303,Card,4992
PAY00304,ORD00304,COD,1834
PAY00305,ORD00305,Card,4602
PAY00306,ORD00306,UPI,541
PAY00307,ORD00307,UPI,2788
PAY00308,ORD00308,UPI,3032
PAY00309,ORD00309,Wallet,6367
PAY00310,ORD00310,Wallet,9104
PAY00311,ORD00311,UPI,8042
PAY00312,ORD00312,Card,7138
PAY00313,ORD00313,COD,11796
PAY00314,ORD00314,Card,1656
PAY00315,ORD00315,Card,9875
PAY00316,ORD00316,Card,5151
PAY00317,ORD00317,UPI,4649
PAY00318,ORD00318,COD,3203
PAY00319,ORD00319,UPI,1688
PAY00320,ORD00320,COD,4637
PAY00321,ORD00321,Wallet,10880
PAY00322,ORD00322,COD,1485
PAY00323,ORD00323,Card,7285
PAY00324,ORD00324,COD,1593
PAY00325,ORD00325,Wallet,1074
PAY00326,ORD00326,COD,2950
PAY00327,ORD00327,UPI,10633
PAY00328,ORD00328,COD,10793
PAY00329,ORD00329,Card,1535
PAY00330,ORD00330,COD,11554
PAY00331,ORD00331,COD,4653
PAY00332,ORD00332,COD,2083
PAY00333,ORD00333,Wallet,4592
PAY00334,ORD00334,COD,7253
PAY00335,ORD00335,UPI,539
PAY00336,ORD00336,COD,7888
PAY00337,ORD00337,UPI,11531
PAY00338,ORD00338,UPI,980
PAY00339,ORD00339,UPI,4474
PAY00340,ORD00340,Card,1143
PAY00341,ORD00341,Card,5252
PAY00342,ORD00342,UPI,3418
PAY00343,ORD00343,Wallet,8375
PAY00344,ORD00344,Wallet,1934
PAY00345,ORD00345,UPI,9663
PAY00346,ORD00346,UPI,10085
PAY00347,ORD00347,Card,10460
PAY00348,ORD00348,UPI,2516
PAY00349,ORD00349,Wallet,5520
PAY00350,ORD00350,UPI,5692
PAY00351,ORD00351,COD,3280
PAY00352,ORD00352,COD,9748
PAY00353,ORD00353,Wallet,10178
PAY00354,ORD00354,Wallet,2162
PAY00355,ORD00355,COD,5867
PAY00356,ORD00356,Card,10381
PAY00357,ORD00357,Wallet,5313
PAY00358,ORD00358,COD,7352
PAY00359,ORD00359,UPI,9962
PAY00360,ORD00360,Wallet,2017
PAY00361,ORD00361,Wallet,9006
PAY00362,ORD00362,COD,4158
PAY00363,ORD00363,UPI,9957
PAY00364,ORD00364,Wallet,9863
PAY00365,ORD00365,UPI,4521
PAY00366,ORD00366,Wallet,8640
PAY00367,ORD00367,UPI,7163
PAY00368,ORD00368,Card,11360
PAY00369,ORD00369,Card,4877
PAY00370,ORD00370,UPI,4403
PAY00371,ORD00371,Card,10100
PAY00372,ORD00372,Wallet,3546
PAY00373,ORD00373,COD,2591
PAY00374,ORD00374,COD,7342
PAY00375,ORD00375,Wallet,1635
PAY00376,ORD00376,UPI,5421
PAY00377,ORD00377,UPI,3133
PAY00378,ORD00378,UPI,795
PAY00379,ORD00379,COD,11247
PAY00380,ORD00380,Card,2423
PAY00381,ORD00381,UPI,6771
PAY00382,ORD00382,Wallet,3188
PAY00383,ORD00383,COD,8374
PAY00384,ORD00384,COD,7121
PAY00385,ORD00385,COD,7512
PAY00386,ORD00386,Card,9909
PAY00387,ORD00387,UPI,8091
PAY00388,ORD00388,UPI,967
PAY00389,ORD00389,Wallet,11619
PAY00390,ORD00390,Card,4643
PAY00391,ORD00391,UPI,1050
PAY00392,ORD00392,COD,2650
PAY00393,ORD00393,COD,11920
PAY00394,ORD00394,Wallet,8673
PAY00395,ORD00395,Card,3784
PAY00396,ORD00396,UPI,8340
PAY00397,ORD00397,COD,1827
PAY00398,ORD00398,UPI,4840
PAY00399,ORD00399,COD,10888
PAY00400,ORD00400,Card,5499
PAY00401,ORD00401,Wallet,9364
PAY00402,ORD00402,UPI,5855
PAY00403,ORD00403,COD,5065
PAY00404,ORD00404,Card,7035
PAY00405,ORD00405,Wallet,3747
PAY00406,ORD00406,COD,10539
PAY00407,ORD00407,Wallet,6298
PAY00408,ORD00408,UPI,6198
PAY00409,ORD00409,UPI,11459
PAY00410,ORD00410,UPI,6732
PAY00411,ORD00411,UPI,4513
PAY00412,ORD00412,UPI,5267
PAY00413,ORD00413,COD,11881
PAY00414,ORD00414,UPI,9866
PAY00415,ORD00415,Wallet,5966
PAY00416,ORD00416,UPI,4833
PAY00417,ORD00417,COD,3446
PAY00418,ORD00418,Card,802
PAY00419,ORD00419,UPI,10813
PAY00420,ORD00420,Card,8577
PAY00421,ORD00421,UPI,9584
PAY00422,ORD00422,Card,2925
PAY00423,ORD00423,COD,7007
PAY00424,ORD00424,COD,6556
PAY00425,ORD00425,Card,7243
PAY00426,ORD00426,Wallet,4558
PAY00427,ORD00427,UPI,7790
PAY00428,ORD00428,Wallet,5549
PAY00429,ORD00429,UPI,2062
PAY00430,ORD00430,Wallet,3615
PAY00431,ORD00431,COD,7429
PAY00432,ORD00432,Wallet,4682
PAY00433,ORD00433,COD,9833
PAY00434,ORD00434,UPI,3152
PAY00435,ORD00435,Wallet,10827
PAY00436,ORD00436,COD,7057
PAY00437,ORD00437,COD,5072
PAY00438,ORD00438,Wallet,1261
PAY00439,ORD00439,Card,9913
PAY00440,ORD00440,COD,1738
PAY00441,ORD00441,Card,4590
PAY00442,ORD00442,UPI,10348
PAY00443,ORD00443,Wallet,7696
PAY00444,ORD00444,Card,4444
PAY00445,ORD00445,Wallet,3203
PAY00446,ORD00446,Wallet,9100
PAY00447,ORD00447,UPI,8328
PAY00448,ORD00448,UPI,10525
PAY00449,ORD00449,COD,4225
PAY00450,ORD00450,UPI,5476
PAY00451,ORD00451,Card,9805
PAY00452,ORD00452,UPI,9183
PAY00453,ORD00453,Wallet,1728
PAY00454,ORD00454,COD,8886
PAY00455,ORD00455,COD,3037
PAY00456,ORD00456,UPI,2948
PAY00457,ORD00457,Wallet,4246
PAY00458,ORD00458,UPI,10892
PAY00459,ORD00459,UPI,6292
PAY00460,ORD00460,COD,11087
PAY00461,ORD00461,Card,2978
PAY00462,ORD00462,Wallet,9657
PAY00463,ORD00463,Card,11731
PAY00464,ORD00464,UPI,10486
PAY00465,ORD00465,UPI,5761
PAY00466,ORD00466,Wallet,3549
PAY00467,ORD00467,COD,9446
PAY00468,ORD00468,Wallet,6353
PAY00469,ORD00469,COD,2588
PAY00470,ORD00470,COD,3263
PAY00471,ORD00471,COD,772
PAY00472,ORD00472,COD,2272
PAY00473,ORD00473,COD,843
PAY00474,ORD00474,COD,6130
PAY00475,ORD00475,Card,9543
PAY00476,ORD00476,Wallet,1563
PAY00477,ORD00477,Card,2610
PAY00478,ORD00478,UPI,9724
PAY00479,ORD00479,COD,2360
PAY00480,ORD00480,Card,7730
PAY00481,ORD00481,Card,9540
PAY00482,ORD00482,Wallet,10395
PAY00483,ORD00483,Wallet,8959
PAY00484,ORD00484,Card,11691
PAY00485,ORD00485,Wallet,4419
PAY00486,ORD00486,Wallet,9654
PAY00487,ORD00487,Wallet,10423
PAY00488,ORD00488,COD,11375
PAY00489,ORD00489,Card,8434
PAY00490,ORD00490,COD,9962
PAY00491,ORD00491,UPI,3974
PAY00492,ORD00492,Wallet,6338
PAY00493,ORD00493,UPI,9969
PAY00494,ORD00494,Wallet,9664
PAY00495,ORD00495,Card,2856
PAY00496,ORD00496,COD,1750
PAY00497,ORD00497,COD,8330
PAY00498,ORD00498,COD,4842
PAY00499,ORD00499,Wallet,7198
PAY00500,ORD00500,COD,10663
PAY00501,ORD00501,Wallet,7022
PAY00502,ORD00502,Wallet,7736
PAY00503,ORD00503,COD,8116
PAY00504,ORD00504,COD,4517
PAY00505,ORD00505,Wallet,1071
PAY00506,ORD00506,Wallet,9208
PAY00507,ORD00507,Card,11787
PAY00508,ORD00508,UPI,10497
PAY00509,ORD00509,COD,1300
PAY00510,ORD00510,Wallet,10949
PAY00511,ORD00511,COD,9024
PAY00512,ORD00512,Card,3462
PAY00513,ORD00513,Card,8082
PAY00514,ORD00514,Card,11655
PAY00515,ORD00515,Wallet,10054
PAY00516,ORD00516,Wallet,8613
PAY00517,ORD00517,UPI,5530
PAY00518,ORD00518,Wallet,6024
PAY00519,ORD00519,Card,10925
PAY00520,ORD00520,Wallet,11355
PAY00521,ORD00521,UPI,2296
PAY00522,ORD00522,UPI,9919
PAY00523,ORD00523,COD,7309
PAY00524,ORD00524,Wallet,7769
PAY00525,ORD00525,UPI,7943
PAY00526,ORD00526,Card,8189
PAY00527,ORD00527,UPI,11875
PAY00528,ORD00528,COD,11711
PAY00529,ORD00529,Wallet,3775
PAY00530,ORD00530,Wallet,8722
PAY00531,ORD00531,COD,6174
PAY00532,ORD00532,UPI,846
PAY00533,ORD00533,Card,9753
PAY00534,ORD00534,UPI,10342
PAY00535,ORD00535,COD,5874
PAY00536,ORD00536,Wallet,9813
PAY00537,ORD00537,UPI,5189
PAY00538,ORD00538,Card,1561
PAY00539,ORD00539,COD,8900
PAY00540,ORD00540,Wallet,1861
PAY00541,ORD00541,COD,3728
PAY00542,ORD00542,Wallet,8559
PAY00543,ORD00543,COD,3046
PAY00544,ORD00544,UPI,9069
PAY00545,ORD00545,COD,10650
PAY00546,ORD00546,UPI,11114
PAY00547,ORD00547,Card,7204
PAY00548,ORD00548,UPI,7586
PAY00549,ORD00549,Wallet,6639
PAY00550,ORD00550,COD,10307
PAY00551,ORD00551,Card,10419
PAY00552,ORD00552,Card,1667
PAY00553,ORD00553,COD,1890
PAY00554,ORD00554,UPI,10304
PAY00555,ORD00555,Wallet,9013
PAY00556,ORD00556,Card,5039
PAY00557,ORD00557,Card,11917
PAY00558,ORD00558,COD,11153
PAY00559,ORD00559,UPI,1059
PAY00560,ORD00560,Card,1403
PAY00561,ORD00561,UPI,989
PAY00562,ORD00562,COD,6388
PAY00563,ORD00563,Card,8419
PAY00564,ORD00564,UPI,5149
PAY00565,ORD00565,Card,3169
PAY00566,ORD00566,COD,7066
PAY00567,ORD00567,UPI,4468
PAY00568,ORD00568,COD,3240
PAY00569,ORD00569,COD,4992
PAY00570,ORD00570,Wallet,4133
PAY00571,ORD00571,Card,2619
PAY00572,ORD00572,COD,9407
PAY00573,ORD00573,Wallet,6350
PAY00574,ORD00574,COD,4681
PAY00575,ORD00575,Card,6750
PAY00576,ORD00576,Card,8456
PAY00577,ORD00577,COD,7839
PAY00578,ORD00578,Card,793
PAY00579,ORD00579,Card,3805
PAY00580,ORD00580,COD,1238
PAY00581,ORD00581,Card,2181
PAY00582,ORD00582,COD,6394
PAY00583,ORD00583,UPI,8917
PAY00584,ORD00584,COD,6589
PAY00585,ORD00585,Wallet,1760
PAY00586,ORD00586,COD,4099
PAY00587,ORD00587,Card,11020
PAY00588,ORD00588,UPI,5640
PAY00589,ORD00589,UPI,11521
PAY00590,ORD00590,COD,11234
PAY00591,ORD00591,COD,1903
PAY00592,ORD00592,COD,4622
PAY00593,ORD00593,Wallet,4752
PAY00594,ORD00594,Card,4043
PAY00595,ORD00595,UPI,8953
PAY00596,ORD00596,UPI,1593
PAY00597,ORD00597,Wallet,1423
PAY00598,ORD00598,COD,4468
PAY00599,ORD00599,UPI,10698
PAY00600,ORD00600,UPI,11788
PAY00601,ORD00601,COD,6236
PAY00602,ORD00602,COD,9119
PAY00603,ORD00603,Card,3375
PAY00604,ORD00604,COD,8370
PAY00605,ORD00605,UPI,4885
PAY00606,ORD00606,Wallet,7623
PAY00607,ORD00607,COD,7383
PAY00608,ORD00608,Card,5344
PAY00609,ORD00609,COD,5970
PAY00610,ORD00610,Wallet,8083
PAY00611,ORD00611,Card,2665
PAY00612,ORD00612,Card,1378
PAY00613,ORD00613,Card,967
PAY00614,ORD00614,Wallet,10519
PAY00615,ORD00615,Card,9491
PAY00616,ORD00616,COD,1096
PAY00617,ORD00617,Wallet,7482
PAY00618,ORD00618,COD,7557
PAY00619,ORD00619,UPI,3061
PAY00620,ORD00620,UPI,3812
PAY00621,ORD00621,Wallet,7766
PAY00622,ORD00622,Card,4489
PAY00623,ORD00623,Card,1950
PAY00624,ORD00624,Card,3170
PAY00625,ORD00625,COD,9490
PAY00626,ORD00626,UPI,8894
PAY00627,ORD00627,UPI,670
PAY00628,ORD00628,COD,1504
PAY00629,ORD00629,Card,5535
PAY00630,ORD00630,Wallet,5595
PAY00631,ORD00631,UPI,8105
PAY00632,ORD00632,COD,3690
PAY00633,ORD00633,Card,5252
PAY00634,ORD00634,Wallet,3595
PAY00635,ORD00635,COD,5817
PAY00636,ORD00636,Card,5669
PAY00637,ORD00637,COD,9537
PAY00638,ORD00638,Wallet,7024
PAY00639,ORD00639,Card,9401
PAY00640,ORD00640,UPI,6202
PAY00641,ORD00641,UPI,5734
PAY00642,ORD00642,Card,7028
PAY00643,ORD00643,COD,7220
PAY00644,ORD00644,COD,6743
PAY00645,ORD00645,Wallet,7216
PAY00646,ORD00646,Wallet,887
PAY00647,ORD00647,COD,612
PAY00648,ORD00648,UPI,9788
PAY00649,ORD00649,Card,955
PAY00650,ORD00650,Card,8165
PAY00651,ORD00651,Wallet,1218
PAY00652,ORD00652,UPI,10828
PAY00653,ORD00653,COD,11008
PAY00654,ORD00654,Card,10553
PAY00655,ORD00655,Card,4893
PAY00656,ORD00656,Wallet,9516
PAY00657,ORD00657,Wallet,1406
PAY00658,ORD00658,Card,2136
PAY00659,ORD00659,Card,11039
PAY00660,ORD00660,Card,9033
PAY00661,ORD00661,Card,8260
PAY00662,ORD00662,COD,4949
PAY00663,ORD00663,Card,9535
PAY00664,ORD00664,Wallet,3303
PAY00665,ORD00665,Wallet,1926
PAY00666,ORD00666,COD,10774
PAY00667,ORD00667,COD,6448
PAY00668,ORD00668,COD,5884
PAY00669,ORD00669,COD,5931
PAY00670,ORD00670,Wallet,7219
PAY00671,ORD00671,UPI,9439
PAY00672,ORD00672,UPI,6863
PAY00673,ORD00673,Wallet,4756
PAY00674,ORD00674,COD,4355
PAY00675,ORD00675,COD,8900
PAY00676,ORD00676,UPI,6345
PAY00677,ORD00677,Card,4698
PAY00678,ORD00678,Wallet,7879
PAY00679,ORD00679,Wallet,1988
PAY00680,ORD00680,COD,1246
PAY00681,ORD00681,COD,11017
PAY00682,ORD00682,Wallet,9951
PAY00683,ORD00683,Wallet,2973
PAY00684,ORD00684,COD,6703
PAY00685,ORD00685,UPI,6809
PAY00686,ORD00686,Wallet,6237
PAY00687,ORD00687,Card,2780
PAY00688,ORD00688,Card,10868
PAY00689,ORD00689,COD,7653
PAY00690,ORD00690,Wallet,3364
PAY00691,ORD00691,COD,11798
PAY00692,ORD00692,Wallet,1654
PAY00693,ORD00693,COD,7560
PAY00694,ORD00694,Card,2047
PAY00695,ORD00695,Card,6945
PAY00696,ORD00696,COD,4420
PAY00697,ORD00697,Wallet,525
PAY00698,ORD00698,Wallet,8339
PAY00699,ORD00699,UPI,5925
PAY00700,ORD00700,UPI,8287
PAY00701,ORD00701,COD,7194
PAY00702,ORD00702,COD,10750
PAY00703,ORD00703,Card,5402
PAY00704,ORD00704,Card,9471
PAY00705,ORD00705,Card,3819
PAY00706,ORD00706,Card,3904
PAY00707,ORD00707,Card,6345
PAY00708,ORD00708,COD,3152
PAY00709,ORD00709,COD,3960
PAY00710,ORD00710,COD,2036
PAY00711,ORD00711,UPI,9820
PAY00712,ORD00712,UPI,8829
PAY00713,ORD00713,Card,584
PAY00714,ORD00714,COD,545
PAY00715,ORD00715,Wallet,6285
PAY00716,ORD00716,Wallet,986
PAY00717,ORD00717,COD,10799
PAY00718,ORD00718,Card,3853
PAY00719,ORD00719,UPI,1565
PAY00720,ORD00720,UPI,3903
PAY00721,ORD00721,Wallet,9408
PAY00722,ORD00722,Card,7406
PAY00723,ORD00723,Wallet,5941
PAY00724,ORD00724,UPI,2727
PAY00725,ORD00725,COD,9568
PAY00726,ORD00726,Card,5047
PAY00727,ORD00727,UPI,11016
PAY00728,ORD00728,Wallet,8317
PAY00729,ORD00729,UPI,5607
PAY00730,ORD00730,COD,4337
PAY00731,ORD00731,COD,955
PAY00732,ORD00732,UPI,3703
PAY00733,ORD00733,Wallet,11544
PAY00734,ORD00734,Wallet,3236
PAY00735,ORD00735,COD,1373
PAY00736,ORD00736,COD,5915
PAY00737,ORD00737,UPI,1870
PAY00738,ORD00738,COD,8215
PAY00739,ORD00739,Card,8463
PAY00740,ORD00740,Card,3982
PAY00741,ORD00741,Card,3274
PAY00742,ORD00742,COD,11125
PAY00743,ORD00743,COD,10691
PAY00744,ORD00744,UPI,2311
PAY00745,ORD00745,Card,2037
PAY00746,ORD00746,Card,4228
PAY00747,ORD00747,COD,6252
