review_id,order_id,rating,review_text
REV00168,ORD08271,5,Amazing quality
REV00169,ORD07306,4,Highly recommended
REV00170,ORD07374,5,Amazing quality
REV00171,ORD04544,3,Poor quality product
REV00172,ORD07940,5,Highly recommended
REV00173,ORD07207,4,Worth the price
REV00174,ORD03842,1,Bad experience
REV00175,ORD08850,3,Bad experience
REV00176,ORD03789,2,Poor quality product
REV00177,ORD03506,4,Very satisfied with purchase
REV00178,ORD05422,1,Poor packaging
REV00179,ORD01021,4,Amazing quality
REV00180,ORD06382,3,Poor packaging
REV00181,ORD00321,5,Highly recommended
REV00182,ORD06233,5,Highly recommended
REV00183,ORD04893,4,Worth the price
REV00184,ORD08819,5,Amazing quality
REV00185,ORD09884,5,Highly recommended
REV00186,ORD03596,5,Amazing quality
REV00187,ORD00476,3,Poor packaging
REV00188,ORD02705,4,Amazing quality
REV00189,ORD08752,5,Very satisfied with purchase
REV00190,ORD09698,1,Poor packaging
REV00191,ORD01376,4,Excellent product and fast delivery
REV00192,ORD07565,4,Very satisfied with purchase
REV00193,ORD06212,3,Bad experience
REV00194,ORD05356,3,Poor packaging
REV00195,ORD04559,3,Poor packaging
REV00196,ORD04134,5,Amazing quality
REV00197,ORD00318,5,Amazing quality
REV00198,ORD05734,5,Excellent product and fast delivery
REV00199,ORD00660,3,"Delivery delayed, disappointed"
REV00200,ORD03267,5,Very satisfied with purchase
REV00201,ORD02497,5,Highly recommended
REV00202,ORD01875,3,Poor packaging
REV00203,ORD07620,4,Very satisfied with purchase
REV00204,ORD02750,5,Worth the price
REV00205,ORD02684,4,Excellent product and fast delivery
REV00206,ORD09482,5,Excellent product and fast delivery
REV00207,ORD09434,1,Bad experience
REV00208,ORD06499,5,Amazing quality
REV00209,ORD01246,5,Very satisfied with purchase
REV00210,ORD01670,4,Very satisfied with purchase
REV00211,ORD09838,5,Worth the price
REV00212,ORD00673,5,Highly recommended
REV00213,ORD06072,3,Poor packaging
REV00214,ORD00208,1,Bad experience
REV00215,ORD01730,5,Amazing quality
REV00216,ORD07533,4,Worth the price
REV00217,ORD02886,5,Amazing quality
REV00218,ORD08818,5,Worth the price
REV00219,ORD07137,5,Amazing quality
REV00220,ORD04398,5,Highly recommended
REV00221,ORD01420,3,Poor quality product
REV00222,ORD03996,3,Poor packaging
REV00223,ORD10000,5,Highly recommended
REV00224,ORD00471,5,Worth the price
REV00225,ORD02980,4,Worth the price
REV00226,ORD04233,4,Worth the price
REV00227,ORD04527,3,Not worth the money
REV00228,ORD03131,4,Highly recommended
REV00229,ORD08005,2,Poor packaging
REV00230,ORD07801,4,Very satisfied with purchase
REV00231,ORD07343,4,Amazing quality
REV00232,ORD04821,5,Excellent product and fast delivery
REV00233,ORD05017,3,Poor quality product
REV00234,ORD07754,5,Worth the price
REV00235,ORD06972,4,Worth the price
REV00236,ORD05420,5,Highly recommended
REV00237,ORD04439,4,Amazing quality
REV00238,ORD01977,3,Poor quality product
REV00239,ORD01959,5,Worth the price
REV00240,ORD03139,5,Very satisfied with purchase
REV00241,ORD04531,3,Poor packaging
REV00242,ORD09778,5,Highly recommended
REV00243,ORD03181,3,"Delivery delayed, disappointed"
REV00244,ORD02940,3,Bad experience
REV00245,ORD02074,3,Not worth the money
REV00246,ORD09067,3,"Delivery delayed, disappointed"
REV00247,ORD08043,3,Poor quality product
REV00248,ORD09406,2,"Delivery delayed, disappointed"
REV00249,ORD07217,3,Poor packaging
REV00250,ORD04137,3,"Delivery delayed, disappointed"
REV00251,ORD01870,5,Amazing quality
REV00252,ORD08057,5,Amazing quality
REV00253,ORD02486,1,"Delivery delayed, disappointed"
REV00254,ORD04979,2,Not worth the money
REV00255,ORD01941,2,Poor quality product
REV00256,ORD09934,4,Amazing quality
REV00257,ORD03698,4,Highly recommended
REV00258,ORD07382,5,Amazing quality
REV00259,ORD09643,5,Worth the price
REV00260,ORD09317,5,Worth the price
REV00261,ORD01626,4,Highly recommended
REV00262,ORD03458,5,Very satisfied with purchase
REV00263,ORD02574,3,"Delivery delayed, disappointed"
REV00264,ORD01230,3,Not worth the money
REV00265,ORD07382,2,Poor packaging
REV00266,ORD04772,5,Amazing quality
REV00267,ORD04633,1,Bad experience
REV00268,ORD01167,5,Amazing quality
REV00269,ORD09664,5,Worth the price
REV00270,ORD06966,5,Very satisfied with purchase
REV00271,ORD02442,2,Poor quality product
REV00272,ORD01170,5,Very satisfied with purchase
REV00273,ORD09750,1,Bad experience
REV00274,ORD04729,5,Highly recommended
REV00275,ORD04983,4,Amazing quality
REV00276,ORD08200,5,Worth the price
REV00277,ORD01318,4,Amazing quality
REV00278,ORD05281,4,Amazing quality
REV00279,ORD01497,4,Excellent product and fast delivery
REV00280,ORD09620,3,Not worth the money
REV00281,ORD09442,5,Worth the price
REV00282,ORD07709,1,Poor quality product
REV00283,ORD04558,4,Amazing quality
REV00284,ORD07142,3,Not worth the money
REV00285,ORD01495,4,Amazing quality
REV00286,ORD05461,4,Amazing quality
REV00287,ORD02635,3,"Delivery delayed, disappointed"
REV00288,ORD04723,3,Poor packaging
REV00289,ORD09013,5,Amazing quality
REV00290,ORD05154,1,"Delivery delayed, disappointed"
REV00291,ORD06623,3,"Delivery delayed, disappointed"
REV00292,ORD08890,5,Excellent product and fast delivery
REV00293,ORD03074,4,Excellent product and fast delivery
REV00294,ORD08168,4,Highly recommended
REV00295,ORD03336,4,Excellent product and fast delivery
REV00296,ORD04720,3,Poor quality product
REV00297,ORD01990,4,Amazing quality
REV00298,ORD03921,1,Not worth the money
REV00299,ORD09025,5,Worth the price
REV00300,ORD01528,1,Poor packaging
REV00301,ORD07561,3,"Delivery delayed, disappointed"
REV00302,ORD08166,5,Very satisfied with purchase
REV00303,ORD08338,5,Worth the price
REV00304,ORD07906,5,Amazing quality
REV00305,ORD07484,5,Very satisfied with purchase
REV00306,ORD03123,4,Amazing quality
REV00307,ORD02237,5,Highly recommended
REV00308,ORD06799,5,Worth the price
REV00309,ORD04378,3,Not worth the money
REV00310,ORD04892,5,Worth the price
REV00311,ORD08023,5,Highly recommended
REV00312,ORD08825,5,Amazing quality
REV00313,ORD09043,4,Worth the price
REV00314,ORD07461,5,Amazing quality
REV00315,ORD03913,5,Very satisfied with purchase
REV00316,ORD06731,4,Very satisfied with purchase
REV00317,ORD06247,1,Poor packaging
REV00318,ORD08116,4,Very satisfied with purchase
REV00319,ORD08230,5,Very satisfied with purchase
REV00320,ORD01645,5,Worth the price
REV00321,ORD01634,5,Amazing quality
REV00322,ORD00252,4,Amazing quality
REV00323,ORD02530,5,Amazing quality
REV00324,ORD05547,1,Bad experience
REV00325,ORD01316,4,Amazing quality
REV00326,ORD06227,5,Highly recommended
REV00327,ORD08865,5,Amazing quality
REV00328,ORD03847,1,"Delivery delayed, disappointed"
REV00329,ORD03728,4,Worth the price
REV00330,ORD01613,5,Amazing quality
REV00331,ORD07270,5,Excellent product and fast delivery
REV00332,ORD00475,2,Bad experience
REV00333,ORD04807,1,"Delivery delayed, disappointed"
REV00334,ORD02386,4,Amazing quality
REV00335,ORD09273,3,Poor packaging
REV00336,ORD02786,5,Very satisfied with purchase
REV00337,ORD06268,2,Not worth the money
REV00338,ORD08154,4,Very satisfied with purchase
REV00339,ORD03805,5,Very satisfied with purchase
REV00340,ORD07530,4,Worth the price
REV00341,ORD07623,3,"Delivery delayed, disappointed"
REV00342,ORD02589,5,Highly recommended
REV00343,ORD09627,1,Bad experience
REV00344,ORD04098,3,Poor packaging
REV00345,ORD03264,4,Worth the price
REV00346,ORD01748,5,Amazing quality
REV00347,ORD05882,3,Not worth the money
REV00348,ORD00360,4,Worth the price
REV00349,ORD04498,5,Amazing quality
REV00350,ORD09936,1,"Delivery delayed, disappointed"
REV00351,ORD03771,5,Worth the price
REV00352,ORD03589,4,Worth the price
REV00353,ORD04107,4,Highly recommended
REV00354,ORD01592,5,Very satisfied with purchase
REV00355,ORD05062,5,Excellent product and fast delivery
REV00356,ORD09496,5,Excellent product and fast delivery
REV00357,ORD01477,4,Very satisfied with purchase
REV00358,ORD06808,5,Worth the price
REV00359,ORD08838,2,Poor quality product
REV00360,ORD08698,5,Worth the price
REV00361,ORD02696,4,Worth the price
REV00362,ORD04836,3,Poor packaging
REV00363,ORD01887,5,Worth the price
REV00364,ORD02307,4,Excellent product and fast delivery
REV00365,ORD06512,5,Very satisfied with purchase
REV00366,ORD05993,5,Highly recommended
REV00367,ORD00229,2,Poor packaging
REV00368,ORD07452,3,"Delivery delayed, disappointed"
REV00369,ORD09578,4,Worth the price
REV00370,ORD01776,4,Worth the price
REV00371,ORD00411,5,Amazing quality
REV00372,ORD05375,4,Highly recommended
REV00373,ORD01036,5,Very satisfied with purchase
REV00374,ORD04952,4,Amazing quality
REV00375,ORD02291,4,Excellent product and fast delivery
REV00376,ORD04987,1,"Delivery delayed, disappointed"
REV00377,ORD01593,5,Excellent product and fast delivery
REV00378,ORD02223,3,Not worth the money
REV00379,ORD08851,4,Worth the price
REV00380,ORD06798,4,Very satisfied with purchase
REV00381,ORD06687,5,Amazing quality
REV00382,ORD00537,5,Worth the price
REV00383,ORD07265,5,Very satisfied with purchase
REV00384,ORD05943,4,Very satisfied with purchase
REV00385,ORD08921,2,Bad experience
REV00386,ORD00993,5,Worth the price
REV00387,ORD02002,4,Very satisfied with purchase
REV00388,ORD01502,5,Amazing quality
REV00389,ORD00350,5,Highly recommended
REV00390,ORD03991,1,Bad experience
REV00391,ORD03363,5,Highly recommended
REV00392,ORD03395,1,Not worth the money
REV00393,ORD05384,4,Very satisfied with purchase
REV00394,ORD00047,5,Highly recommended
REV00395,ORD02130,3,Poor quality product
REV00396,ORD01802,4,Very satisfied with purchase
REV00397,ORD02160,5,Excellent product and fast delivery
REV00398,ORD09648,1,Poor quality product
REV00399,ORD04348,3,Poor quality product
REV00400,ORD08620,1,Poor packaging
REV00401,ORD07803,2,"Delivery delayed, disappointed"
REV00402,ORD08409,4,Worth the price
REV00403,ORD08255,4,Amazing quality
REV00404,ORD00711,3,Not worth the money
REV00405,ORD04942,5,Highly recommended
REV00406,ORD00997,4,Excellent product and fast delivery
REV00407,ORD06985,5,Amazing quality
REV00408,ORD07268,5,Amazing quality
REV00409,ORD05278,1,"Delivery delayed, disappointed"
REV00410,ORD02068,4,Excellent product and fast delivery
REV00411,ORD08985,3,Not worth the money
REV00412,ORD09788,5,Amazing quality
REV00413,ORD08283,4,Amazing quality
REV00414,ORD01875,4,Excellent product and fast delivery
REV00415,ORD03523,5,Highly recommended
REV00416,ORD06780,4,Very satisfied with purchase
REV00417,ORD06533,3,Poor packaging
REV00418,ORD05121,4,Excellent product and fast delivery
REV00419,ORD06133,4,Worth the price
REV00420,ORD01100,5,Amazing quality
REV00421,ORD01528,2,"Delivery delayed, disappointed"
REV00422,ORD02132,4,Worth the price
REV00423,ORD09202,4,Highly recommended
REV00424,ORD06731,4,Excellent product and fast delivery
REV00425,ORD00843,4,Amazing quality
REV00426,ORD05120,5,Highly recommended
REV00427,ORD08314,4,Highly recommended
REV00428,ORD03675,3,Poor packaging
REV00429,ORD09114,5,Worth the price
REV00430,ORD09407,4,Worth the price
REV00431,ORD09191,3,Poor packaging
REV00432,ORD09122,5,Highly recommended
REV00433,ORD00475,1,Bad experience
REV00434,ORD05568,3,Bad experience
REV00435,ORD02348,4,Very satisfied with purchase
REV00436,ORD01141,4,Amazing quality
REV00437,ORD01504,2,"Delivery delayed, disappointed"
REV00438,ORD06164,5,Very satisfied with purchase
REV00439,ORD02579,4,Worth the price
REV00440,ORD09300,4,Worth the price
REV00441,ORD02550,4,Excellent product and fast delivery
REV00442,ORD00816,2,Not worth the money
REV00443,ORD07260,5,Worth the price
REV00444,ORD09947,5,Amazing quality
REV00445,ORD03532,4,Worth the price
REV00446,ORD05656,5,Excellent product and fast delivery
REV00447,ORD09718,4,Worth the price
REV00448,ORD00745,4,Worth the price
REV00449,ORD00898,3,Not worth the money
REV00450,ORD03461,1,Bad experience
REV00451,ORD04743,5,Worth the price
REV00452,ORD08150,3,"Delivery delayed, disappointed"
REV00453,ORD02117,5,Very satisfied with purchase
REV00454,ORD08197,4,Very satisfied with purchase
REV00455,ORD01181,4,Worth the price
REV00456,ORD07148,4,Excellent product and fast delivery
REV00457,ORD05130,1,"Delivery delayed, disappointed"
REV00458,ORD06627,4,Highly recommended
REV00459,ORD04744,5,Amazing quality
REV00460,ORD05322,2,"Delivery delayed, disappointed"
REV00461,ORD07539,2,Not worth the money
REV00462,ORD01444,5,Worth the price
REV00463,ORD03987,4,Excellent product and fast delivery
REV00464,ORD08585,4,Amazing quality
REV00465,ORD05563,1,Bad experience
REV00466,ORD01252,3,Poor quality product
REV00467,ORD08694,4,Excellent product and fast delivery
REV00468,ORD05753,4,Worth the price
REV00469,ORD03872,5,Very satisfied with purchase
REV00470,ORD03233,2,Bad experience
REV00471,ORD01235,2,Poor quality product
REV00472,ORD07602,2,Poor packaging
REV00473,ORD07355,5,Highly recommended
REV00474,ORD05296,5,Highly recommended
REV00475,ORD02474,5,Worth the price
REV00476,ORD07246,4,Amazing quality
REV00477,ORD09690,4,Worth the price
REV00478,ORD01216,1,Not worth the money
REV00479,ORD00617,3,Poor packaging
REV00480,ORD01258,1,Bad experience
REV00481,ORD09734,4,Excellent product and fast delivery
REV00482,ORD09509,4,Amazing quality
REV00483,ORD07369,4,Excellent product and fast delivery
REV00484,ORD03085,5,Highly recommended
REV00485,ORD08215,3,Poor packaging
REV00486,ORD07382,2,"Delivery delayed, disappointed"
REV00487,ORD01382,2,Bad experience
REV00488,ORD00642,4,Very satisfied with purchase
REV00489,ORD07200,3,Poor packaging
REV00490,ORD02601,4,Highly recommended
REV00491,ORD06348,4,Worth the price
REV00492,ORD09796,4,Worth the price
REV00493,ORD01080,1,Bad experience
REV00494,ORD06334,3,Not worth the money
REV00495,ORD02464,3,Not worth the money
REV00496,ORD02318,3,Not worth the money
REV00497,ORD06422,5,Worth the price
REV00498,ORD05073,2,"Delivery delayed, disappointed"
REV00499,ORD02094,4,Worth the price
REV00500,ORD01532,5,Highly recommended
REV00501,ORD08332,4,Amazing quality
REV00502,ORD05061,4,Worth the price
REV00503,ORD05599,3,Poor quality product
REV00504,ORD03146,5,Amazing quality
REV00505,ORD02539,3,Poor quality product
REV00506,ORD08318,1,"Delivery delayed, disappointed"
REV00507,ORD00619,5,Highly recommended
REV00508,ORD02148,5,Highly recommended
REV00509,ORD02659,4,Very satisfied with purchase
REV00510,ORD02713,3,Not worth the money
REV00511,ORD06732,5,Excellent product and fast delivery
REV00512,ORD07278,4,Very satisfied with purchase
REV00513,ORD03834,4,Amazing quality
REV00514,ORD07685,4,Worth the price
REV00515,ORD06027,5,Very satisfied with purchase
REV00516,ORD07219,5,Highly recommended
REV00517,ORD06257,4,Worth the price
REV00518,ORD02656,4,Amazing quality
REV00519,ORD02268,5,Highly recommended
REV00520,ORD07874,5,Excellent product and fast delivery
REV00521,ORD01681,5,Highly recommended
REV00522,ORD02043,5,Highly recommended
REV00523,ORD04470,3,Poor quality product
REV00524,ORD02415,4,Highly recommended
REV00525,ORD03638,5,Excellent product and fast delivery
REV00526,ORD00437,5,Worth the price
REV00527,ORD08225,4,Amazing quality
REV00528,ORD01338,4,Amazing quality
REV00529,ORD05222,4,Excellent product and fast delivery
REV00530,ORD02393,5,Worth the price
REV00531,ORD07741,2,Bad experience
REV00532,ORD07686,5,Very satisfied with purchase
REV00533,ORD01299,4,Excellent product and fast delivery
REV00534,ORD02450,1,Poor quality product
REV00535,ORD08648,4,Highly recommended
REV00536,ORD03894,4,Worth the price
REV00537,ORD03907,3,"Delivery delayed, disappointed"
REV00538,ORD07490,4,Highly recommended
REV00539,ORD09777,1,Poor packaging
REV00540,ORD09422,4,Highly recommended
REV00541,ORD04773,3,Poor quality product
REV00542,ORD05781,4,Highly recommended
REV00543,ORD03069,3,Poor packaging
REV00544,ORD08577,5,Excellent product and fast delivery
REV00545,ORD08619,5,Excellent product and fast delivery
REV00546,ORD09080,4,Highly recommended
REV00547,ORD00714,1,Poor packaging
REV00548,ORD04156,4,Worth the price
REV00549,ORD01107,5,Worth the price
REV00550,ORD09534,3,"Delivery delayed, disappointed"
REV00551,ORD02186,5,Worth the price
REV00552,ORD05547,1,Not worth the money
REV00553,ORD07613,5,Very satisfied with purchase
REV00554,ORD02987,5,Amazing quality
REV00555,ORD07499,5,Excellent product and fast delivery
REV00556,ORD00718,1,Poor quality product
REV00557,ORD05171,5,Excellent product and fast delivery
REV00558,ORD06525,5,Highly recommended
REV00559,ORD07757,5,Highly recommended
REV00560,ORD04688,3,Poor quality product
REV00561,ORD05439,4,Excellent product and fast delivery
REV00562,ORD07160,3,Bad experience
REV00563,ORD06335,5,Amazing quality
REV00564,ORD08130,3,Poor quality product
REV00565,ORD08508,5,Worth the price
REV00566,ORD06956,3,"Delivery delayed, disappointed"
REV00567,ORD02957,1,Not worth the money
REV00568,ORD01681,4,Worth the price
REV00569,ORD05022,2,Bad experience
REV00570,ORD02731,4,Amazing quality
REV00571,ORD07326,5,Worth the price
REV00572,ORD07127,1,Bad experience
REV00573,ORD01230,3,"Delivery delayed, disappointed"
REV00574,ORD05953,5,Amazing quality
REV00575,ORD00511,4,Very satisfied with purchase
REV00576,ORD07180,2,Not worth the money
REV00577,ORD03867,1,"Delivery delayed, disappointed"
REV00578,ORD05934,5,Worth the price
REV00579,ORD00531,4,Highly recommended
REV00580,ORD06078,4,Amazing quality
REV00581,ORD09404,4,Excellent product and fast delivery
REV00582,ORD06522,2,Bad experience
REV00583,ORD04090,3,Bad experience
REV00584,ORD03049,5,Excellent product and fast delivery
REV00585,ORD09203,4,Amazing quality
REV00586,ORD07312,2,Bad experience
REV00587,ORD04679,3,Not worth the money
REV00588,ORD03280,5,Amazing quality
REV00589,ORD07407,2,"Delivery delayed, disappointed"
REV00590,ORD01439,2,Poor packaging
REV00591,ORD05693,5,Worth the price
REV00592,ORD08883,5,Highly recommended
REV00593,ORD02581,3,Bad experience
REV00594,ORD05923,5,Very satisfied with purchase
REV00595,ORD03293,4,Excellent product and fast delivery
REV00596,ORD08095,5,Very satisfied with purchase
REV00597,ORD09377,1,Not worth the money
REV00598,ORD02127,4,Highly recommended
REV00599,ORD01078,4,Excellent product and fast delivery
REV00600,ORD08613,3,Poor packaging
REV00601,ORD09420,4,Amazing quality
REV00602,ORD01216,1,Bad experience
REV00603,ORD05645,4,Highly recommended
REV00604,ORD09631,2,Not worth the money
REV00605,ORD07089,3,Poor quality product
REV00606,ORD02035,4,Excellent product and fast delivery
REV00607,ORD02698,4,Worth the price
REV00608,ORD05670,2,Poor quality product
REV00609,ORD04654,5,Highly recommended
REV00610,ORD03217,5,Worth the price
REV00611,ORD04497,4,Highly recommended
REV00612,ORD08741,2,Bad experience
REV00613,ORD09697,2,Poor quality product
REV00614,ORD02805,5,Very satisfied with purchase
REV00615,ORD05532,5,Highly recommended
REV00616,ORD00675,5,Highly recommended
REV00617,ORD01331,5,Excellent product and fast delivery
REV00618,ORD04337,1,Not worth the money
REV00619,ORD06826,5,Highly recommended
REV00620,ORD08160,4,Excellent product and fast delivery
REV00621,ORD04746,5,Highly recommended
REV00622,ORD07913,4,Worth the price
REV00623,ORD04874,3,Poor packaging
REV00624,ORD02590,4,Excellent product and fast delivery
REV00625,ORD07610,4,Amazing quality
REV00626,ORD02354,3,Not worth the money
REV00627,ORD05659,3,Bad experience
REV00628,ORD06071,5,Very satisfied with purchase
REV00629,ORD05229,4,Excellent product and fast delivery
REV00630,ORD04383,3,"Delivery delayed, disappointed"
REV00631,ORD01587,4,Very satisfied with purchase
REV00632,ORD06851,1,Poor packaging
REV00633,ORD05365,3,Poor quality product
REV00634,ORD03111,5,Worth the price
REV00635,ORD08434,5,Amazing quality
REV00636,ORD08149,4,Worth the price
REV00637,ORD08282,1,Poor packaging
REV00638,ORD03525,4,Very satisfied with purchase
REV00639,ORD00829,4,Excellent product and fast delivery
REV00640,ORD07711,3,Not worth the money
REV00641,ORD01762,3,"Delivery delayed, disappointed"
REV00642,ORD05993,4,Worth the price
REV00643,ORD00742,5,Worth the price
REV00644,ORD09205,4,Highly recommended
REV00645,ORD04729,3,Not worth the money
REV00646,ORD07379,1,Not worth the money
REV00647,ORD01947,5,Worth the price
REV00648,ORD06454,2,"Delivery delayed, disappointed"
REV00649,ORD09140,4,Worth the price
REV00650,ORD03262,5,Very satisfied with purchase
REV00651,ORD08194,4,Amazing quality
REV00652,ORD02246,1,"Delivery delayed, disappointed"
REV00653,ORD08509,5,Amazing quality
REV00654,ORD08447,4,Highly recommended
REV00655,ORD05219,2,Not worth the money
REV00656,ORD04903,2,Not worth the money
