order_id,product_id,customer_id,quantity,sales_amount,shipping_cost,rating
ORD07661,PROD0172,CUST1501,4,6892,317,3
ORD09525,PROD0090,CUST2025,4,5304,209,2
ORD09880,PROD0108,CUST0600,4,6091,61,1
ORD07230,PROD0160,CUST2498,3,2637,412,4
ORD02836,PROD0047,CUST1739,3,2754,489,2
ORD02863,PROD0098,CUST2086,4,1450,363,3
ORD07375,PROD0039,CUST1179,1,4999,361,5
ORD05213,PROD0234,CUST2043,2,856,424,2
ORD02897,PROD0130,CUST0208,4,10704,162,1
ORD06280,PROD0365,CUST0874,3,10159,175,5
ORD01114,PROD0471,CUST2009,4,2901,436,2
ORD03574,PROD0375,CUST1913,3,10974,229,2
ORD07667,PROD0333,CUST1769,2,10849,202,4
ORD05248,PROD0500,CUST2197,2,1522,497,4
ORD07064,PROD0183,CUST1229,3,8844,123,4
ORD05658,PROD0347,CUST2271,4,10691,350,1
ORD04012,PROD0365,CUST2014,4,4089,375,1
ORD05112,PROD0327,CUST0520,3,9142,102,3
ORD06715,PROD0059,CUST0087,2,7188,322,4
ORD06486,PROD0041,CUST0407,4,5632,62,3
ORD00711,PROD0253,CUST1225,3,6284,236,1
ORD09926,PROD0447,CUST1562,1,9714,316,4
ORD08647,PROD0312,CUST0113,1,1915,240,5
ORD07183,PROD0427,CUST0517,1,8495,86,5
ORD03050,PROD0452,CUST1699,4,628,471,1
ORD06652,PROD0087,CUST1069,2,11014,109,3
ORD06133,PROD0328,CUST0284,2,1487,249,1
ORD06840,PROD0313,CUST0044,1,7115,369,4
ORD02494,PROD0438,CUST1661,3,4852,176,3
ORD07332,PROD0043,CUST2384,2,1600,359,3
ORD02837,PROD0255,CUST0432,1,11844,117,2
ORD02065,PROD0175,CUST1851,1,11921,292,2
ORD01974,PROD0481,CUST0742,3,10714,475,2
ORD04904,PROD0261,CUST2309,2,1085,463,2
ORD03349,PROD0497,CUST0335,1,5818,259,3
ORD00941,PROD0331,CUST1147,4,2755,446,1
ORD01166,PROD0269,CUST1583,4,3932,444,1
ORD09280,PROD0276,CUST2028,4,764,383,1
ORD04931,PROD0473,CUST1210,2,6231,60,3
ORD08966,PROD0055,CUST0911,3,10648,147,1
ORD07263,PROD0002,CUST2365,1,2935,233,3
ORD03867,PROD0184,CUST0088,4,3663,181,1
ORD07366,PROD0460,CUST1687,3,5059,404,1
ORD06302,PROD0355,CUST0533,3,8410,106,5
ORD01813,PROD0098,CUST0362,3,3643,259,5
ORD04612,PROD0284,CUST0035,3,5956,169,5
ORD07220,PROD0392,CUST2179,4,2691,449,1
ORD04539,PROD0169,CUST2195,3,6180,391,5
ORD02648,PROD0228,CUST1981,3,1387,140,2
ORD01570,PROD0284,CUST0223,4,11738,52,2
ORD02073,PROD0172,CUST0725,4,7607,497,4
ORD04169,PROD0462,CUST1111,4,10176,148,3
ORD00627,PROD0208,CUST1803,3,2513,414,5
ORD01071,PROD0376,CUST0032,4,5368,378,2
ORD04534,PROD0152,CUST0819,2,743,262,2
ORD04198,PROD0086,CUST1359,4,2184,59,5
ORD03754,PROD0236,CUST0977,4,6166,188,2
ORD09266,PROD0437,CUST1869,3,3952,402,3
ORD08523,PROD0317,CUST2088,2,5603,317,4
ORD03624,PROD0173,CUST0108,2,3217,132,3
ORD04286,PROD0334,CUST1621,2,3481,279,4
ORD04175,PROD0252,CUST0454,1,3653,167,5
ORD08649,PROD0452,CUST2024,2,8312,54,3
ORD02989,PROD0404,CUST0338,4,5988,121,2
ORD00201,PROD0325,CUST0616,2,1239,67,3
ORD00774,PROD0097,CUST0927,2,11341,193,2
ORD04944,PROD0191,CUST0861,4,10995,157,5
ORD02053,PROD0050,CUST1286,3,1038,456,1
ORD06602,PROD0194,CUST1702,4,4430,328,2
ORD06670,PROD0447,CUST1388,3,10984,436,2
ORD01162,PROD0311,CUST2364,4,10704,205,5
ORD01872,PROD0430,CUST0901,4,9380,405,3
ORD05256,PROD0127,CUST0662,3,5312,460,3
ORD08055,PROD0437,CUST1292,4,8659,304,2
ORD01454,PROD0258,CUST2227,3,3058,327,2
ORD06555,PROD0118,CUST0999,4,2282,253,4
ORD00569,PROD0309,CUST0335,3,3527,455,5
ORD06212,PROD0262,CUST0706,1,6056,182,1
ORD07477,PROD0003,CUST1460,3,10422,456,4
ORD01158,PROD0474,CUST1068,3,11425,343,1
ORD08095,PROD0204,CUST1448,1,7522,240,3
ORD04482,PROD0500,CUST2446,1,3473,267,4
ORD05709,PROD0052,CUST0821,1,8004,232,2
ORD02692,PROD0421,CUST2316,2,4771,237,4
ORD05329,PROD0217,CUST1355,2,4121,204,5
ORD02516,PROD0080,CUST0876,1,5983,404,5
ORD07979,PROD0206,CUST0149,1,10230,471,3
ORD06690,PROD0379,CUST1492,3,9799,268,4
ORD09250,PROD0469,CUST2246,4,1872,135,3
ORD04232,PROD0050,CUST1280,2,4270,446,3
ORD06299,PROD0298,CUST0839,4,8458,458,5
ORD01654,PROD0414,CUST1173,2,6588,394,2
ORD02615,PROD0314,CUST0196,2,8256,159,3
ORD06403,PROD0353,CUST2109,2,1876,439,1
ORD04319,PROD0399,CUST1836,4,7834,403,3
ORD02149,PROD0002,CUST1874,4,9113,280,2
ORD06618,PROD0316,CUST1038,1,9214,94,1
ORD02345,PROD0202,CUST2470,3,2378,389,5
ORD07651,PROD0352,CUST0233,4,11465,92,5
ORD09112,PROD0345,CUST1894,1,6116,166,5
ORD01266,PROD0296,CUST0265,3,843,229,3
ORD05217,PROD0337,CUST0498,3,11940,358,5
ORD06398,PROD0041,CUST1276,1,8381,197,2
ORD00467,PROD0152,CUST1466,2,2824,277,3
ORD08583,PROD0349,CUST1348,1,3249,477,2
ORD09169,PROD0060,CUST0203,2,11145,285,1
ORD03667,PROD0466,CUST0358,2,6163,281,3
ORD09542,PROD0476,CUST0735,1,1106,65,3
ORD02470,PROD0278,CUST1470,3,7086,68,1
ORD09420,PROD0372,CUST1875,3,11436,385,5
ORD01642,PROD0334,CUST1372,2,7059,446,2
ORD09071,PROD0223,CUST1792,1,8888,86,1
ORD09473,PROD0184,CUST1839,4,1364,187,2
ORD00755,PROD0426,CUST1587,1,3988,214,3
ORD02601,PROD0114,CUST1475,3,2952,431,5
ORD06528,PROD0486,CUST0323,3,9229,307,4
ORD04628,PROD0039,CUST0720,4,5129,441,5
ORD09331,PROD0195,CUST0144,1,2934,171,3
ORD08188,PROD0022,CUST1606,3,10367,379,2
ORD05474,PROD0072,CUST1603,2,8099,123,2
ORD01817,PROD0126,CUST2123,3,3936,245,1
ORD07689,PROD0053,CUST1772,4,1446,412,3
ORD08151,PROD0376,CUST1531,2,10667,309,3
ORD00864,PROD0292,CUST1764,3,8753,302,1
ORD06150,PROD0294,CUST2499,3,7247,110,3
ORD05775,PROD0208,CUST0181,3,8928,175,5
ORD08243,PROD0174,CUST2269,1,7620,462,4
ORD08630,PROD0309,CUST1364,4,7946,451,4
ORD07382,PROD0393,CUST1377,2,2746,207,5
ORD03719,PROD0329,CUST1601,2,10545,157,1
ORD03417,PROD0065,CUST1549,1,10524,342,5
ORD06506,PROD0058,CUST1521,1,4561,451,5
ORD02171,PROD0445,CUST0776,4,11020,456,3
ORD08594,PROD0005,CUST0896,4,9266,152,4
ORD09009,PROD0222,CUST1319,4,1803,289,1
ORD01905,PROD0354,CUST0601,1,7972,195,4
ORD05536,PROD0155,CUST1338,1,4617,478,4
ORD03623,PROD0354,CUST1579,4,5702,272,4
ORD01858,PROD0107,CUST0586,2,6901,149,5
ORD04656,PROD0496,CUST0750,2,3383,157,1
ORD09740,PROD0384,CUST2338,1,1428,168,4
ORD07307,PROD0289,CUST0881,2,1002,204,5
ORD02858,PROD0119,CUST0823,4,1252,437,1
ORD03568,PROD0379,CUST2025,3,7829,476,5
ORD01324,PROD0092,CUST2460,4,6185,355,1
ORD02127,PROD0317,CUST0634,2,10160,476,5
ORD07274,PROD0008,CUST1171,1,1612,169,2
ORD09050,PROD0456,CUST1319,3,8270,186,1
ORD09862,PROD0327,CUST0321,1,8241,411,3
ORD08824,PROD0069,CUST0805,1,4200,359,2
ORD03925,PROD0280,CUST0606,4,9999,266,3
ORD03909,PROD0281,CUST0057,4,9690,164,1
ORD09210,PROD0102,CUST0964,1,11726,161,2
ORD06629,PROD0036,CUST1226,4,7970,432,2
ORD01255,PROD0311,CUST1182,1,5150,305,4
ORD08781,PROD0056,CUST2069,3,7391,94,3
ORD06521,PROD0359,CUST2497,1,11071,88,1
ORD03022,PROD0085,CUST0967,3,11337,127,5
ORD09494,PROD0365,CUST1405,1,10665,301,5
ORD00687,PROD0033,CUST0159,2,11055,382,2
ORD03763,PROD0076,CUST0581,1,617,296,2
ORD08501,PROD0122,CUST0142,4,5415,429,4
ORD04383,PROD0064,CUST0025,1,10738,439,3
ORD04103,PROD0078,CUST1390,2,5530,439,3
ORD04370,PROD0307,CUST1230,2,8458,199,2
ORD08994,PROD0135,CUST1948,1,8625,306,3
ORD09565,PROD0067,CUST2077,4,1209,129,2
ORD01078,PROD0192,CUST1799,2,1836,78,5
ORD00174,PROD0150,CUST0984,1,10284,493,1
ORD03930,PROD0497,CUST1271,4,9971,410,2
ORD04929,PROD0074,CUST1427,1,961,392,2
ORD03332,PROD0055,CUST0230,1,5776,360,4
ORD04808,PROD0145,CUST0272,4,3083,266,5
ORD08848,PROD0313,CUST1700,4,8168,453,4
ORD08737,PROD0225,CUST0766,1,11801,290,4
ORD04938,PROD0088,CUST2404,4,2553,420,1
ORD01444,PROD0030,CUST0383,4,6512,456,5
ORD08637,PROD0373,CUST0615,3,1538,74,1
ORD03467,PROD0025,CUST1585,3,10204,375,2
ORD06776,PROD0286,CUST0660,3,2084,109,4
ORD08275,PROD0264,CUST0108,3,2447,213,2
ORD00404,PROD0422,CUST1494,1,5578,361,4
ORD06118,PROD0432,CUST0177,3,7363,338,1
ORD05476,PROD0337,CUST0357,3,11038,379,5
ORD00815,PROD0389,CUST1159,4,735,182,2
ORD08581,PROD0425,CUST1803,4,3951,479,1
ORD03676,PROD0083,CUST0678,4,5930,114,4
ORD03781,PROD0348,CUST0787,3,5342,109,2
ORD02868,PROD0350,CUST0303,3,9543,383,1
ORD00247,PROD0015,CUST0582,1,4035,295,4
ORD02284,PROD0102,CUST1355,2,4014,212,5
ORD05083,PROD0343,CUST0339,1,7653,139,4
ORD08697,PROD0104,CUST0686,3,8255,77,5
ORD06235,PROD0052,CUST1277,4,1085,185,1
ORD03602,PROD0415,CUST1247,2,6098,479,3
ORD09377,PROD0078,CUST1260,1,11114,411,5
ORD04692,PROD0334,CUST1724,3,11384,211,4
ORD00925,PROD0140,CUST0066,3,4311,150,2
ORD08971,PROD0399,CUST0334,2,1222,391,3
ORD05732,PROD0121,CUST1406,1,6403,389,5
ORD02491,PROD0185,CUST2193,1,7542,114,5
ORD04522,PROD0314,CUST0259,1,10273,461,5
ORD03903,PROD0110,CUST0276,3,4435,276,2
ORD08690,PROD0196,CUST1446,2,10574,496,2
ORD05588,PROD0445,CUST0243,3,7102,447,5
ORD00296,PROD0192,CUST0779,2,2740,54,5
ORD02507,PROD0231,CUST2434,3,8625,468,5
ORD04588,PROD0203,CUST1333,3,1570,158,2
ORD09735,PROD0051,CUST1045,1,9448,146,3
ORD00731,PROD0059,CUST1087,4,2356,372,2
ORD03700,PROD0141,CUST0075,1,7928,351,5
ORD01237,PROD0411,CUST1726,1,7868,470,4
ORD09202,PROD0372,CUST0903,1,2138,426,1
ORD05063,PROD0427,CUST2486,1,7730,462,2
ORD06031,PROD0185,CUST0908,4,3824,139,1
ORD05251,PROD0104,CUST0417,2,10603,452,4
ORD06155,PROD0052,CUST0758,4,5863,117,5
ORD00540,PROD0069,CUST1282,2,4684,61,1
ORD08843,PROD0043,CUST2184,2,8593,479,3
ORD03032,PROD0075,CUST2297,2,6130,69,1
ORD09688,PROD0252,CUST1524,4,4880,56,5
ORD02235,PROD0469,CUST0938,4,8967,419,3
ORD00624,PROD0363,CUST0656,3,1828,371,5
ORD04942,PROD0300,CUST0572,4,5592,142,1
ORD04562,PROD0449,CUST1170,3,1690,248,2
ORD03063,PROD0249,CUST1705,4,8173,382,5
ORD00094,PROD0178,CUST1511,2,10619,393,2
ORD00092,PROD0405,CUST1029,1,6510,429,4
ORD00182,PROD0149,CUST0898,3,3592,427,2
ORD01829,PROD0186,CUST2323,3,10715,189,5
ORD07708,PROD0150,CUST1193,2,11815,249,5
ORD03380,PROD0058,CUST1078,2,4416,394,4
ORD03725,PROD0011,CUST0208,1,2839,361,1
ORD03639,PROD0311,CUST0372,1,11757,457,1
ORD00205,PROD0252,CUST1411,1,2403,379,3
ORD07159,PROD0087,CUST0295,3,9856,289,5
ORD05008,PROD0379,CUST1180,4,4021,179,5
ORD04935,PROD0475,CUST1069,2,1472,220,2
ORD08435,PROD0076,CUST0939,4,6015,231,1
ORD09148,PROD0050,CUST1615,2,9154,375,5
ORD09523,PROD0453,CUST1340,1,4317,284,1
ORD07939,PROD0063,CUST1260,1,8537,165,2
ORD04821,PROD0073,CUST2188,4,4157,228,3
ORD06785,PROD0110,CUST2225,3,7623,467,5
ORD02734,PROD0103,CUST2152,4,3403,76,2
ORD07889,PROD0032,CUST1279,2,3038,435,2
ORD07814,PROD0496,CUST1199,3,4416,498,2
ORD05618,PROD0282,CUST1326,1,3121,244,3
ORD00825,PROD0085,CUST0966,2,4797,237,5
ORD01629,PROD0259,CUST1452,2,2477,64,5
ORD05338,PROD0383,CUST0381,3,9287,423,1
ORD08552,PROD0364,CUST0721,3,4360,387,5
ORD09474,PROD0024,CUST2402,4,4193,299,3
ORD01494,PROD0274,CUST0271,3,11259,193,4
ORD06660,PROD0077,CUST0294,2,2863,201,1
ORD03549,PROD0180,CUST1068,3,7202,98,2
ORD07735,PROD0031,CUST0692,4,3598,457,2
ORD03130,PROD0149,CUST2251,3,5776,227,4
ORD07592,PROD0233,CUST0454,1,4844,108,3
ORD02213,PROD0074,CUST0773,1,7874,178,5
ORD08724,PROD0325,CUST1498,4,7284,234,2
ORD09723,PROD0001,CUST2100,1,10966,182,1
ORD07416,PROD0141,CUST1529,2,7836,192,3
ORD09898,PROD0077,CUST1522,4,6217,488,5
ORD03718,PROD0244,CUST0945,1,8492,269,2
ORD06124,PROD0387,CUST0945,4,5226,483,2
ORD04785,PROD0202,CUST1000,4,2338,142,1
ORD09958,PROD0169,CUST2173,1,8676,80,1
ORD08836,PROD0473,CUST1608,2,839,181,2
ORD00815,PROD0091,CUST1654,2,2944,172,1
ORD04610,PROD0245,CUST1083,3,11772,213,4
ORD06447,PROD0252,CUST0934,3,10382,152,4
ORD00264,PROD0267,CUST1013,3,2854,100,4
ORD09702,PROD0234,CUST1145,3,1256,135,5
ORD03335,PROD0137,CUST1603,1,10619,158,5
ORD03218,PROD0187,CUST0897,3,8289,462,5
ORD05320,PROD0150,CUST0613,3,6882,133,1
ORD07448,PROD0433,CUST0333,4,2687,475,4
ORD01008,PROD0046,CUST0855,2,7209,426,4
ORD06757,PROD0199,CUST1800,4,1570,348,1
ORD01972,PROD0360,CUST1875,2,3553,455,2
ORD01098,PROD0153,CUST1087,4,6213,351,3
ORD00396,PROD0394,CUST1148,4,8350,427,2
ORD06346,PROD0302,CUST1870,3,4195,164,4
ORD07540,PROD0205,CUST0616,1,11902,272,2
ORD00820,PROD0386,CUST1643,3,4508,344,4
ORD09659,PROD0272,CUST0709,2,1132,69,4
ORD09533,PROD0449,CUST0313,2,4041,377,5
ORD05980,PROD0443,CUST1716,4,8693,301,2
ORD01777,PROD0258,CUST1859,2,10692,144,1
ORD09398,PROD0270,CUST1956,1,6792,122,4
ORD00785,PROD0181,CUST1894,4,4102,218,1
ORD08575,PROD0176,CUST0009,2,5396,203,4
ORD04277,PROD0234,CUST2427,1,10661,200,4
ORD01625,PROD0199,CUST1686,2,10091,169,4
ORD07290,PROD0294,CUST0544,2,10486,70,5
ORD06994,PROD0375,CUST2007,4,9342,246,2
ORD06147,PROD0198,CUST0944,4,7507,168,5
ORD06604,PROD0006,CUST0076,3,2598,293,2
ORD04208,PROD0005,CUST2290,4,6418,238,1
ORD08362,PROD0119,CUST2051,3,2371,413,2
ORD05200,PROD0470,CUST0612,1,2101,83,4
ORD09786,PROD0007,CUST2037,2,573,465,4
ORD08799,PROD0349,CUST1647,4,11007,347,5
ORD06788,PROD0362,CUST0282,1,8962,139,3
ORD02804,PROD0283,CUST0016,4,7486,183,1
ORD02800,PROD0464,CUST0736,2,9691,63,2
ORD07097,PROD0043,CUST1693,3,5319,480,4
ORD09201,PROD0222,CUST1631,3,2015,292,3
ORD05815,PROD0499,CUST2040,4,3501,484,4
ORD08683,PROD0103,CUST0808,1,5394,161,5
ORD04343,PROD0013,CUST2368,2,3739,394,5
ORD09811,PROD0040,CUST1865,1,3567,446,4
ORD05986,PROD0230,CUST1821,4,4675,344,5
ORD05163,PROD0291,CUST2265,3,3244,277,2
ORD00424,PROD0370,CUST1319,3,1405,397,4
ORD02186,PROD0222,CUST1098,3,8175,129,1
ORD09621,PROD0487,CUST1692,4,11769,217,2
ORD07723,PROD0057,CUST2053,4,10233,471,3
ORD08858,PROD0023,CUST2008,1,11995,269,4
ORD00471,PROD0474,CUST0325,2,2375,421,1
ORD06582,PROD0197,CUST0191,4,9823,291,4
ORD00408,PROD0332,CUST1024,1,3431,131,1
ORD03559,PROD0262,CUST0684,4,5545,445,2
ORD02961,PROD0073,CUST0122,2,4567,225,3
ORD05509,PROD0336,CUST1645,3,2161,134,3
ORD02423,PROD0380,CUST0095,2,10877,370,1
ORD09454,PROD0130,CUST0434,2,6415,182,1
ORD05461,PROD0134,CUST1426,1,3599,341,4
ORD01599,PROD0228,CUST1596,2,5895,405,3
ORD09184,PROD0113,CUST1728,3,7311,416,5
ORD09822,PROD0336,CUST0724,3,10362,215,1
ORD07899,PROD0190,CUST2012,4,2916,311,5
ORD01628,PROD0147,CUST0805,2,1472,423,2
ORD03873,PROD0416,CUST0727,1,7141,101,3
ORD04752,PROD0232,CUST0161,3,9159,345,5
ORD08965,PROD0059,CUST2261,1,7291,356,5
ORD01171,PROD0031,CUST1057,2,4154,453,4
ORD01576,PROD0337,CUST0429,3,9978,80,4
ORD06946,PROD0277,CUST0222,2,11306,266,3
ORD08434,PROD0161,CUST2208,4,9224,320,4
ORD02331,PROD0330,CUST1887,1,3602,356,1
ORD05511,PROD0098,CUST2218,4,10623,453,1
ORD05585,PROD0109,CUST1031,4,5953,88,5
ORD03767,PROD0292,CUST1895,2,9961,281,1
ORD00053,PROD0444,CUST0126,4,3827,168,5
ORD02704,PROD0335,CUST1712,3,1981,181,2
ORD00131,PROD0422,CUST1082,3,10914,204,1
ORD00230,PROD0018,CUST2260,2,3862,466,2
ORD02852,PROD0357,CUST0779,4,6468,329,4
ORD08584,PROD0035,CUST0939,2,4752,337,4
ORD04665,PROD0225,CUST1158,3,3239,97,1
ORD03596,PROD0087,CUST1298,4,8179,211,4
ORD05462,PROD0452,CUST1720,1,10790,178,1
ORD02909,PROD0144,CUST0927,1,7977,147,1
ORD07507,PROD0294,CUST0631,2,2397,423,5
ORD01871,PROD0237,CUST1122,3,8261,464,4
ORD00614,PROD0021,CUST1361,1,4242,217,2
ORD07356,PROD0080,CUST2005,4,9031,188,1
ORD09257,PROD0429,CUST2009,2,4940,78,4
ORD02983,PROD0197,CUST0795,3,4804,109,2
ORD00899,PROD0467,CUST2259,1,11444,102,3
ORD03312,PROD0023,CUST2419,2,2654,364,5
ORD03390,PROD0450,CUST1904,2,2868,88,2
ORD00681,PROD0111,CUST2107,1,4645,391,3
ORD04895,PROD0100,CUST0143,4,763,304,2
ORD03076,PROD0396,CUST1124,4,2785,307,4
ORD06049,PROD0424,CUST0479,3,2523,120,5
ORD08798,PROD0375,CUST1376,4,11541,400,2
ORD03966,PROD0062,CUST1555,3,9392,246,4
ORD08407,PROD0218,CUST0804,1,11073,129,4
ORD05925,PROD0369,CUST1606,3,9262,275,4
ORD06689,PROD0311,CUST1428,1,2683,321,1
ORD00584,PROD0357,CUST2445,3,3087,113,1
ORD01801,PROD0172,CUST1567,3,3974,90,4
ORD05529,PROD0315,CUST1818,4,8232,417,5
ORD01859,PROD0485,CUST0535,1,3956,187,1
ORD01100,PROD0005,CUST1107,2,10852,324,5
ORD02965,PROD0130,CUST1848,2,3980,332,3
ORD04752,PROD0495,CUST1456,4,5735,402,3
ORD04280,PROD0277,CUST2121,1,8712,215,3
ORD06341,PROD0294,CUST0207,3,10340,313,1
ORD07784,PROD0264,CUST2164,3,4437,346,5
ORD04990,PROD0393,CUST1147,3,10683,377,5
ORD06360,PROD0297,CUST0144,1,6981,69,2
ORD05659,PROD0348,CUST0544,3,10266,207,1
ORD00303,PROD0096,CUST0004,1,9768,319,5
ORD00837,PROD0273,CUST2061,4,8117,305,2
ORD02668,PROD0497,CUST2376,1,5902,167,1
ORD07618,PROD0230,CUST0249,2,3887,153,4
ORD09475,PROD0070,CUST1448,3,2811,338,4
ORD02363,PROD0480,CUST1839,2,9359,207,1
ORD03611,PROD0472,CUST1019,1,4175,123,3
ORD08344,PROD0401,CUST1066,2,6357,316,5
ORD06922,PROD0089,CUST1992,1,5477,438,1
ORD02109,PROD0344,CUST0460,3,3405,120,1
ORD05080,PROD0332,CUST2107,1,5842,204,3
ORD06679,PROD0358,CUST0300,3,752,124,3
ORD06372,PROD0426,CUST2188,1,11619,403,1
ORD04044,PROD0456,CUST1975,1,557,303,1
ORD03793,PROD0008,CUST1372,4,11613,347,4
ORD00171,PROD0229,CUST0780,1,5473,374,4
ORD00651,PROD0125,CUST0730,4,3317,79,3
ORD00336,PROD0053,CUST0649,3,648,195,3
ORD06960,PROD0493,CUST0841,1,7790,334,3
ORD04488,PROD0173,CUST1494,3,3776,254,1
ORD00260,PROD0129,CUST0979,1,1889,130,5
ORD08785,PROD0447,CUST1741,1,3112,320,4
ORD06282,PROD0151,CUST1636,4,7991,274,3
ORD02470,PROD0018,CUST2330,2,6771,173,2
ORD06660,PROD0260,CUST1453,3,9067,430,1
ORD09774,PROD0001,CUST2151,2,1899,348,5
ORD06233,PROD0058,CUST2111,4,1044,84,3
ORD07805,PROD0358,CUST0936,4,1431,451,2
ORD07563,PROD0276,CUST0948,2,4866,459,4
ORD04591,PROD0081,CUST1368,1,5494,403,4
ORD02880,PROD0122,CUST0580,1,8825,464,5
ORD06733,PROD0428,CUST2340,3,10861,151,5
ORD07337,PROD0348,CUST2010,4,10768,419,3
ORD02572,PROD0131,CUST2423,2,2933,177,4
