delivery_id,order_id,delivery_days,delivery_status,shipping_cost
DEL00092,ORD00092,8,Delayed,149
DEL00093,ORD00093,11,Delivered,242
DEL00094,ORD00094,5,Delivered,50
DEL00095,ORD00095,7,Delivered,346
DEL00096,ORD00096,4,Delivered,54
DEL00097,ORD00097,8,Delayed,192
DEL00098,ORD00098,8,Delivered,348
DEL00099,ORD00099,10,Delivered,176
DEL00100,ORD00100,11,Delivered,352
DEL00101,ORD00101,10,Delivered,172
DEL00102,ORD00102,7,Delivered,72
DEL00103,ORD00103,4,Delivered,52
DEL00104,ORD00104,2,Delayed,52
DEL00105,ORD00105,2,Delivered,201
DEL00106,ORD00106,5,Delayed,271
DEL00107,ORD00107,10,Delivered,219
DEL00108,ORD00108,10,Delayed,230
DEL00109,ORD00109,8,Delivered,144
DEL00110,ORD00110,4,Delayed,109
DEL00111,ORD00111,7,Delayed,97
DEL00112,ORD00112,5,Delayed,469
DEL00113,ORD00113,2,Delayed,84
DEL00114,ORD00114,4,Delayed,176
DEL00115,ORD00115,9,Delayed,289
DEL00116,ORD00116,3,Delivered,61
DEL00117,ORD00117,6,Delivered,122
DEL00118,ORD00118,8,Delivered,413
DEL00119,ORD00119,2,Delivered,211
DEL00120,ORD00120,6,Delivered,149
DEL00121,ORD00121,13,Delivered,258
DEL00122,ORD00122,10,Delayed,353
DEL00123,ORD00123,7,Delayed,455
DEL00124,ORD00124,7,Delivered,213
DEL00125,ORD00125,2,Delivered,130
DEL00126,ORD00126,2,Delayed,110
DEL00127,ORD00127,2,Delivered,157
DEL00128,ORD00128,13,Delivered,366
DEL00129,ORD00129,9,Delayed,379
DEL00130,ORD00130,11,Delivered,357
DEL00131,ORD00131,10,Delivered,182
DEL00132,ORD00132,5,Delivered,186
DEL00133,ORD00133,5,Delivered,184
DEL00134,ORD00134,11,Delayed,404
DEL00135,ORD00135,11,Delivered,177
DEL00136,ORD00136,6,Delivered,65
DEL00137,ORD00137,9,Delivered,304
DEL00138,ORD00138,14,Delivered,317
DEL00139,ORD00139,4,Delivered,64
DEL00140,ORD00140,10,Delivered,259
DEL00141,ORD00141,12,Delivered,448
DEL00142,ORD00142,2,Delayed,196
DEL00143,ORD00143,13,Delivered,476
DEL00144,ORD00144,5,Delayed,240
DEL00145,ORD00145,6,Delivered,104
DEL00146,ORD00146,2,Delivered,191
DEL00147,ORD00147,14,Delivered,403
DEL00148,ORD00148,5,Delivered,151
DEL00149,ORD00149,10,Delivered,389
DEL00150,ORD00150,8,Delayed,394
DEL00151,ORD00151,13,Delivered,285
DEL00152,ORD00152,6,Delivered,438
DEL00153,ORD00153,14,Delivered,334
DEL00154,ORD00154,8,Delayed,247
DEL00155,ORD00155,14,Delivered,395
DEL00156,ORD00156,8,Delayed,439
DEL00157,ORD00157,4,Delivered,116
DEL00158,ORD00158,3,Delivered,132
DEL00159,ORD00159,11,Delivered,385
DEL00160,ORD00160,7,Delivered,97
DEL00161,ORD00161,5,Delivered,110
DEL00162,ORD00162,8,Delayed,423
DEL00163,ORD00163,5,Delivered,219
DEL00164,ORD00164,5,Delivered,444
DEL00165,ORD00165,6,Delayed,366
DEL00166,ORD00166,7,Delivered,414
DEL00167,ORD00167,8,Delivered,302
DEL00168,ORD00168,14,Delivered,452
DEL00169,ORD00169,2,Delivered,222
DEL00170,ORD00170,6,Delayed,318
DEL00171,ORD00171,7,Delivered,349
DEL00172,ORD00172,4,Delivered,161
DEL00173,ORD00173,6,Delivered,67
DEL00174,ORD00174,6,Delivered,165
DEL00175,ORD00175,8,Delayed,122
DEL00176,ORD00176,7,Delayed,244
DEL00177,ORD00177,7,Delivered,235
DEL00178,ORD00178,12,Delivered,380
DEL00179,ORD00179,8,Delivered,188
DEL00180,ORD00180,7,Delayed,58
DEL00181,ORD00181,4,Delivered,236
DEL00182,ORD00182,2,Delivered,103
DEL00183,ORD00183,8,Delayed,343
DEL00184,ORD00184,14,Delivered,310
DEL00185,ORD00185,8,Delivered,127
DEL00186,ORD00186,6,Delayed,169
DEL00187,ORD00187,5,Delayed,217
DEL00188,ORD00188,5,Delayed,495
DEL00189,ORD00189,5,Delivered,250
DEL00190,ORD00190,3,Delivered,159
DEL00191,ORD00191,10,Delayed,441
DEL00192,ORD00192,8,Delivered,90
DEL00193,ORD00193,8,Delivered,357
DEL00194,ORD00194,7,Delivered,141
DEL00195,ORD00195,8,Delayed,117
DEL00196,ORD00196,9,Delivered,443
DEL00197,ORD00197,14,Delayed,398
DEL00198,ORD00198,6,Delayed,417
DEL00199,ORD00199,7,Delivered,247
DEL00200,ORD00200,7,Delivered,197
DEL00201,ORD00201,14,Delivered,189
DEL00202,ORD00202,5,Delivered,58
DEL00203,ORD00203,4,Delivered,130
DEL00204,ORD00204,14,Delivered,488
DEL00205,ORD00205,8,Delivered,161
DEL00206,ORD00206,7,Delayed,263
DEL00207,ORD00207,11,Delivered,201
DEL00208,ORD00208,13,Delayed,449
DEL00209,ORD00209,8,Delivered,216
DEL00210,ORD00210,10,Delivered,465
DEL00211,ORD00211,8,Delivered,278
DEL00212,ORD00212,7,Delivered,500
DEL00213,ORD00213,7,Delayed,248
DEL00214,ORD00214,7,Delayed,127
DEL00215,ORD00215,7,Delivered,476
DEL00216,ORD00216,7,Delivered,168
DEL00217,ORD00217,2,Delivered,181
DEL00218,ORD00218,3,Delivered,82
DEL00219,ORD00219,7,Delivered,189
DEL00220,ORD00220,10,Delivered,486
DEL00221,ORD00221,6,Delivered,348
DEL00222,ORD00222,7,Delayed,69
DEL00223,ORD00223,9,Delayed,444
DEL00224,ORD00224,4,Delivered,169
DEL00225,ORD00225,6,Delayed,187
DEL00226,ORD00226,11,Delayed,162
DEL00227,ORD00227,13,Delayed,369
DEL00228,ORD00228,4,Delivered,195
DEL00229,ORD00229,3,Delivered,223
DEL00230,ORD00230,14,Delivered,377
DEL00231,ORD00231,8,Delivered,80
DEL00232,ORD00232,2,Delayed,196
DEL00233,ORD00233,2,Delivered,148
DEL00234,ORD00234,6,Delivered,364
DEL00235,ORD00235,12,Delivered,500
DEL00236,ORD00236,10,Delayed,405
DEL00237,ORD00237,5,Delivered,132
DEL00238,ORD00238,12,Delivered,330
DEL00239,ORD00239,9,Delivered,390
DEL00240,ORD00240,5,Delivered,176
DEL00241,ORD00241,4,Delivered,183
DEL00242,ORD00242,8,Delayed,185
DEL00243,ORD00243,5,Delivered,332
DEL00244,ORD00244,4,Delivered,115
DEL00245,ORD00245,7,Delayed,281
DEL00246,ORD00246,6,Delivered,412
DEL00247,ORD00247,4,Delivered,51
DEL00248,ORD00248,8,Delivered,420
DEL00249,ORD00249,5,Delivered,54
DEL00250,ORD00250,10,Delayed,390
DEL00251,ORD00251,12,Delayed,160
DEL00252,ORD00252,3,Delayed,61
DEL00253,ORD00253,9,Delayed,228
DEL00254,ORD00254,7,Delivered,155
DEL00255,ORD00255,10,Delivered,174
DEL00256,ORD00256,3,Delayed,57
DEL00257,ORD00257,6,Delivered,258
DEL00258,ORD00258,2,Delivered,199
DEL00259,ORD00259,14,Delivered,393
DEL00260,ORD00260,5,Delivered,84
DEL00261,ORD00261,7,Delivered,434
DEL00262,ORD00262,10,Delayed,349
DEL00263,ORD00263,2,Delivered,126
DEL00264,ORD00264,12,Delivered,254
DEL00265,ORD00265,8,Delivered,226
DEL00266,ORD00266,2,Delivered,196
DEL00267,ORD00267,14,Delayed,278
DEL00268,ORD00268,14,Delayed,471
DEL00269,ORD00269,7,Delayed,486
DEL00270,ORD00270,7,Delivered,465
DEL00271,ORD00271,5,Delayed,269
DEL00272,ORD00272,13,Delayed,457
DEL00273,ORD00273,10,Delivered,416
DEL00274,ORD00274,12,Delayed,247
DEL00275,ORD00275,5,Delivered,266
DEL00276,ORD00276,7,Delivered,167
DEL00277,ORD00277,5,Delivered,167
DEL00278,ORD00278,6,Delivered,486
DEL00279,ORD00279,5,Delivered,238
DEL00280,ORD00280,7,Delivered,90
DEL00281,ORD00281,6,Delivered,243
DEL00282,ORD00282,4,Delivered,214
DEL00283,ORD00283,7,Delivered,181
DEL00284,ORD00284,6,Delivered,442
DEL00285,ORD00285,8,Delayed,236
DEL00286,ORD00286,2,Delivered,238
DEL00287,ORD00287,5,Delivered,233
DEL00288,ORD00288,7,Delivered,385
DEL00289,ORD00289,4,Delivered,182
DEL00290,ORD00290,3,Delivered,229
DEL00291,ORD00291,3,Delivered,201
DEL00292,ORD00292,10,Delayed,197
DEL00293,ORD00293,8,Delivered,245
DEL00294,ORD00294,6,Delivered,88
DEL00295,ORD00295,11,Delayed,335
DEL00296,ORD00296,4,Delivered,156
DEL00297,ORD00297,8,Delayed,55
DEL00298,ORD00298,8,Delivered,218
DEL00299,ORD00299,8,Delivered,484
DEL00300,ORD00300,6,Delayed,178
DEL00301,ORD00301,7,Delivered,237
DEL00302,ORD00302,2,Delivered,59
DEL00303,ORD00303,4,Delayed,119
DEL00304,ORD00304,7,Delivered,213
DEL00305,ORD00305,4,Delayed,169
DEL00306,ORD00306,4,Delivered,230
DEL00307,ORD00307,5,Delivered,177
DEL00308,ORD00308,14,Delivered,418
DEL00309,ORD00309,6,Delivered,209
DEL00310,ORD00310,7,Delivered,103
DEL00311,ORD00311,10,Delivered,448
DEL00312,ORD00312,6,Delivered,64
DEL00313,ORD00313,10,Delayed,411
DEL00314,ORD00314,3,Delivered,153
DEL00315,ORD00315,13,Delivered,284
DEL00316,ORD00316,5,Delivered,102
DEL00317,ORD00317,5,Delivered,500
DEL00318,ORD00318,7,Delivered,271
DEL00319,ORD00319,7,Delayed,208
DEL00320,ORD00320,2,Delivered,211
DEL00321,ORD00321,13,Delivered,429
DEL00322,ORD00322,7,Delivered,188
DEL00323,ORD00323,8,Delivered,217
DEL00324,ORD00324,13,Delayed,218
DEL00325,ORD00325,12,Delayed,153
DEL00326,ORD00326,7,Delivered,244
DEL00327,ORD00327,2,Delivered,80
DEL00328,ORD00328,3,Delivered,106
DEL00329,ORD00329,14,Delivered,434
DEL00330,ORD00330,6,Delivered,109
DEL00331,ORD00331,7,Delivered,161
DEL00332,ORD00332,5,Delivered,61
DEL00333,ORD00333,5,Delivered,365
DEL00334,ORD00334,6,Delivered,207
DEL00335,ORD00335,8,Delayed,236
DEL00336,ORD00336,10,Delayed,331
DEL00337,ORD00337,12,Delivered,376
DEL00338,ORD00338,7,Delayed,486
DEL00339,ORD00339,6,Delivered,315
DEL00340,ORD00340,10,Delayed,375
DEL00341,ORD00341,10,Delayed,215
DEL00342,ORD00342,5,Delivered,208
DEL00343,ORD00343,13,Delayed,290
DEL00344,ORD00344,9,Delivered,172
DEL00345,ORD00345,6,Delivered,103
DEL00346,ORD00346,9,Delivered,182
DEL00347,ORD00347,2,Delayed,216
DEL00348,ORD00348,7,Delayed,266
DEL00349,ORD00349,5,Delivered,251
DEL00350,ORD00350,2,Delivered,133
DEL00351,ORD00351,8,Delivered,248
DEL00352,ORD00352,5,Delayed,448
DEL00353,ORD00353,6,Delivered,164
DEL00354,ORD00354,8,Delayed,477
DEL00355,ORD00355,10,Delivered,368
DEL00356,ORD00356,11,Delivered,392
DEL00357,ORD00357,5,Delayed,268
DEL00358,ORD00358,7,Delayed,159
DEL00359,ORD00359,6,Delivered,371
DEL00360,ORD00360,14,Delivered,313
DEL00361,ORD00361,6,Delivered,219
DEL00362,ORD00362,10,Delayed,448
DEL00363,ORD00363,12,Delayed,232
DEL00364,ORD00364,12,Delivered,269
DEL00365,ORD00365,6,Delivered,248
DEL00366,ORD00366,7,Delayed,439
DEL00367,ORD00367,13,Delayed,338
DEL00368,ORD00368,7,Delivered,266
DEL00369,ORD00369,6,Delayed,342
DEL00370,ORD00370,6,Delivered,431
DEL00371,ORD00371,13,Delivered,276
DEL00372,ORD00372,2,Delayed,169
DEL00373,ORD00373,9,Delayed,346
DEL00374,ORD00374,11,Delayed,240
DEL00375,ORD00375,14,Delivered,332
DEL00376,ORD00376,12,Delayed,287
DEL00377,ORD00377,2,Delivered,158
DEL00378,ORD00378,10,Delayed,156
DEL00379,ORD00379,6,Delayed,412
DEL00380,ORD00380,6,Delivered,191
DEL00381,ORD00381,6,Delayed,266
DEL00382,ORD00382,9,Delivered,491
DEL00383,ORD00383,14,Delayed,280
DEL00384,ORD00384,12,Delivered,380
DEL00385,ORD00385,14,Delivered,214
DEL00386,ORD00386,8,Delayed,253
DEL00387,ORD00387,7,Delayed,367
DEL00388,ORD00388,5,Delayed,444
DEL00389,ORD00389,5,Delivered,231
DEL00390,ORD00390,13,Delivered,246
DEL00391,ORD00391,5,Delivered,81
DEL00392,ORD00392,5,Delivered,155
DEL00393,ORD00393,5,Delayed,221
DEL00394,ORD00394,3,Delivered,121
DEL00395,ORD00395,7,Delivered,215
DEL00396,ORD00396,9,Delivered,464
DEL00397,ORD00397,6,Delayed,256
DEL00398,ORD00398,6,Delayed,106
DEL00399,ORD00399,4,Delivered,208
DEL00400,ORD00400,12,Delayed,381
DEL00401,ORD00401,7,Delivered,475
DEL00402,ORD00402,2,Delivered,120
DEL00403,ORD00403,3,Delivered,104
DEL00404,ORD00404,6,Delivered,384
DEL00405,ORD00405,4,Delayed,161
DEL00406,ORD00406,11,Delivered,176
DEL00407,ORD00407,3,Delivered,175
DEL00408,ORD00408,3,Delivered,67
DEL00409,ORD00409,11,Delayed,463
DEL00410,ORD00410,14,Delayed,230
DEL00411,ORD00411,7,Delivered,162
DEL00412,ORD00412,6,Delayed,302
DEL00413,ORD00413,8,Delivered,430
DEL00414,ORD00414,10,Delivered,325
DEL00415,ORD00415,9,Delayed,297
DEL00416,ORD00416,13,Delivered,354
DEL00417,ORD00417,13,Delivered,424
DEL00418,ORD00418,9,Delayed,390
DEL00419,ORD00419,6,Delayed,279
DEL00420,ORD00420,11,Delivered,192
DEL00421,ORD00421,4,Delivered,198
DEL00422,ORD00422,10,Delivered,197
DEL00423,ORD00423,5,Delivered,184
DEL00424,ORD00424,8,Delivered,131
DEL00425,ORD00425,5,Delivered,298
DEL00426,ORD00426,9,Delivered,274
DEL00427,ORD00427,5,Delivered,74
DEL00428,ORD00428,13,Delivered,341
DEL00429,ORD00429,6,Delivered,424
DEL00430,ORD00430,6,Delivered,309
DEL00431,ORD00431,10,Delayed,197
DEL00432,ORD00432,8,Delivered,371
DEL00433,ORD00433,3,Delivered,211
DEL00434,ORD00434,12,Delivered,430
DEL00435,ORD00435,2,Delivered,61
DEL00436,ORD00436,7,Delivered,184
DEL00437,ORD00437,7,Delayed,319
DEL00438,ORD00438,11,Delivered,478
DEL00439,ORD00439,7,Delayed,369
DEL00440,ORD00440,8,Delivered,186
DEL00441,ORD00441,7,Delivered,250
DEL00442,ORD00442,5,Delivered,244
DEL00443,ORD00443,13,Delayed,371
DEL00444,ORD00444,5,Delivered,495
DEL00445,ORD00445,7,Delayed,297
DEL00446,ORD00446,9,Delivered,228
DEL00447,ORD00447,5,Delivered,59
DEL00448,ORD00448,9,Delayed,313
DEL00449,ORD00449,3,Delivered,54
DEL00450,ORD00450,5,Delivered,113
DEL00451,ORD00451,3,Delivered,82
DEL00452,ORD00452,9,Delivered,169
DEL00453,ORD00453,8,Delivered,450
DEL00454,ORD00454,5,Delivered,340
DEL00455,ORD00455,6,Delayed,489
DEL00456,ORD00456,6,Delayed,208
DEL00457,ORD00457,13,Delivered,307
DEL00458,ORD00458,2,Delivered,99
DEL00459,ORD00459,10,Delivered,242
DEL00460,ORD00460,8,Delivered,231
DEL00461,ORD00461,4,Delivered,135
DEL00462,ORD00462,7,Delivered,122
DEL00463,ORD00463,9,Delivered,245
DEL00464,ORD00464,9,Delivered,462
DEL00465,ORD00465,7,Delivered,285
DEL00466,ORD00466,5,Delivered,99
DEL00467,ORD00467,14,Delivered,332
DEL00468,ORD00468,7,Delivered,221
DEL00469,ORD00469,9,Delivered,488
DEL00470,ORD00470,7,Delivered,468
DEL00471,ORD00471,10,Delayed,357
DEL00472,ORD00472,10,Delayed,240
DEL00473,ORD00473,4,Delivered,135
DEL00474,ORD00474,9,Delayed,399
DEL00475,ORD00475,3,Delivered,144
DEL00476,ORD00476,2,Delayed,208
DEL00477,ORD00477,4,Delivered,76
DEL00478,ORD00478,8,Delivered,277
DEL00479,ORD00479,7,Delivered,144
DEL00480,ORD00480,8,Delayed,119
DEL00481,ORD00481,5,Delivered,234
DEL00482,ORD00482,10,Delivered,256
DEL00483,ORD00483,3,Delivered,245
DEL00484,ORD00484,6,Delivered,136
DEL00485,ORD00485,9,Delayed,253
DEL00486,ORD00486,5,Delivered,201
DEL00487,ORD00487,10,Delivered,393
DEL00488,ORD00488,8,Delivered,215
DEL00489,ORD00489,3,Delivered,240
DEL00490,ORD00490,10,Delivered,288
DEL00491,ORD00491,11,Delivered,430
DEL00492,ORD00492,3,Delivered,221
DEL00493,ORD00493,8,Delivered,75
DEL00494,ORD00494,3,Delivered,125
DEL00495,ORD00495,7,Delivered,110
DEL00496,ORD00496,8,Delivered,218
DEL00497,ORD00497,10,Delayed,264
DEL00498,ORD00498,2,Delivered,75
DEL00499,ORD00499,7,Delivered,100
DEL00500,ORD00500,5,Delivered,275
DEL00501,ORD00501,12,Delivered,216
DEL00502,ORD00502,7,Delivered,92
DEL00503,ORD00503,6,Delivered,290
DEL00504,ORD00504,8,Delayed,173
DEL00505,ORD00505,13,Delivered,221
DEL00506,ORD00506,14,Delivered,256
DEL00507,ORD00507,9,Delayed,353
DEL00508,ORD00508,8,Delivered,126
DEL00509,ORD00509,5,Delivered,97
DEL00510,ORD00510,7,Delayed,446
DEL00511,ORD00511,11,Delivered,301
DEL00512,ORD00512,3,Delivered,98
DEL00513,ORD00513,3,Delayed,241
DEL00514,ORD00514,7,Delivered,126
DEL00515,ORD00515,8,Delivered,196
DEL00516,ORD00516,6,Delayed,242
DEL00517,ORD00517,7,Delivered,124
DEL00518,ORD00518,14,Delivered,359
DEL00519,ORD00519,11,Delayed,499
DEL00520,ORD00520,8,Delivered,318
DEL00521,ORD00521,5,Delayed,203
DEL00522,ORD00522,7,Delayed,329
DEL00523,ORD00523,2,Delivered,79
DEL00524,ORD00524,14,Delivered,458
DEL00525,ORD00525,2,Delivered,244
DEL00526,ORD00526,8,Delivered,268
DEL00527,ORD00527,8,Delayed,393
DEL00528,ORD00528,8,Delivered,173
DEL00529,ORD00529,9,Delayed,423
DEL00530,ORD00530,5,Delivered,438
DEL00531,ORD00531,6,Delayed,181
DEL00532,ORD00532,5,Delivered,203
DEL00533,ORD00533,9,Delivered,428
DEL00534,ORD00534,2,Delivered,122
DEL00535,ORD00535,7,Delivered,218
DEL00536,ORD00536,5,Delayed,309
DEL00537,ORD00537,5,Delivered,227
DEL00538,ORD00538,8,Delayed,156
DEL00539,ORD00539,6,Delivered,58
DEL00540,ORD00540,14,Delivered,458
DEL00541,ORD00541,7,Delayed,212
DEL00542,ORD00542,9,Delayed,406
DEL00543,ORD00543,9,Delivered,433
DEL00544,ORD00544,5,Delivered,257
DEL00545,ORD00545,11,Delayed,181
DEL00546,ORD00546,7,Delivered,74
DEL00547,ORD00547,2,Delayed,102
DEL00548,ORD00548,2,Delivered,70
DEL00549,ORD00549,2,Delayed,229
DEL00550,ORD00550,2,Delayed,102
DEL00551,ORD00551,14,Delivered,499
DEL00552,ORD00552,7,Delayed,305
DEL00553,ORD00553,7,Delivered,416
DEL00554,ORD00554,9,Delivered,197
DEL00555,ORD00555,5,Delivered,211
DEL00556,ORD00556,12,Delayed,188
DEL00557,ORD00557,3,Delivered,161
DEL00558,ORD00558,4,Delivered,175
DEL00559,ORD00559,3,Delivered,204
DEL00560,ORD00560,8,Delivered,70
DEL00561,ORD00561,4,Delayed,207
DEL00562,ORD00562,2,Delivered,250
DEL00563,ORD00563,7,Delayed,277
DEL00564,ORD00564,10,Delayed,295
DEL00565,ORD00565,8,Delayed,192
DEL00566,ORD00566,10,Delivered,176
DEL00567,ORD00567,7,Delivered,97
DEL00568,ORD00568,6,Delivered,114
DEL00569,ORD00569,7,Delivered,315
DEL00570,ORD00570,7,Delayed,129
DEL00571,ORD00571,7,Delivered,474
DEL00572,ORD00572,7,Delayed,66
DEL00573,ORD00573,6,Delivered,188
DEL00574,ORD00574,4,Delivered,183
DEL00575,ORD00575,11,Delayed,349
DEL00576,ORD00576,6,Delivered,203
DEL00577,ORD00577,5,Delivered,339
DEL00578,ORD00578,11,Delivered,381
DEL00579,ORD00579,3,Delivered,143
DEL00580,ORD00580,4,Delayed,87
DEL00581,ORD00581,12,Delayed,476
DEL00582,ORD00582,3,Delivered,149
DEL00583,ORD00583,11,Delivered,337
DEL00584,ORD00584,8,Delivered,52
DEL00585,ORD00585,6,Delayed,300
DEL00586,ORD00586,6,Delivered,263
DEL00587,ORD00587,6,Delayed,215
DEL00588,ORD00588,8,Delivered,96
DEL00589,ORD00589,5,Delivered,249
DEL00590,ORD00590,5,Delayed,476
DEL00591,ORD00591,5,Delivered,188
DEL00592,ORD00592,6,Delivered,398
DEL00593,ORD00593,5,Delivered,391
DEL00594,ORD00594,13,Delivered,206
DEL00595,ORD00595,7,Delivered,267
DEL00596,ORD00596,7,Delivered,239
DEL00597,ORD00597,5,Delivered,424
DEL00598,ORD00598,7,Delivered,419
DEL00599,ORD00599,6,Delivered,202
DEL00600,ORD00600,9,Delivered,197
DEL00601,ORD00601,4,Delivered,165
DEL00602,ORD00602,8,Delayed,340
DEL00603,ORD00603,6,Delivered,276
DEL00604,ORD00604,10,Delivered,249
DEL00605,ORD00605,3,Delivered,92
DEL00606,ORD00606,6,Delayed,83
DEL00607,ORD00607,11,Delivered,298
DEL00608,ORD00608,12,Delayed,434
DEL00609,ORD00609,8,Delivered,168
DEL00610,ORD00610,7,Delivered,426
DEL00611,ORD00611,5,Delivered,303
DEL00612,ORD00612,10,Delivered,274
DEL00613,ORD00613,4,Delivered,244
DEL00614,ORD00614,8,Delayed,74
DEL00615,ORD00615,9,Delivered,390
DEL00616,ORD00616,4,Delayed,237
DEL00617,ORD00617,13,Delivered,168
DEL00618,ORD00618,7,Delayed,192
DEL00619,ORD00619,5,Delivered,347
DEL00620,ORD00620,12,Delayed,436
DEL00621,ORD00621,8,Delivered,387
DEL00622,ORD00622,7,Delivered,199
DEL00623,ORD00623,7,Delivered,233
DEL00624,ORD00624,11,Delivered,455
DEL00625,ORD00625,10,Delivered,432
DEL00626,ORD00626,12,Delivered,340
DEL00627,ORD00627,5,Delayed,428
DEL00628,ORD00628,14,Delayed,150
DEL00629,ORD00629,5,Delivered,195
DEL00630,ORD00630,10,Delivered,228
DEL00631,ORD00631,5,Delivered,53
DEL00632,ORD00632,11,Delivered,319
DEL00633,ORD00633,8,Delayed,381
DEL00634,ORD00634,12,Delivered,172
DEL00635,ORD00635,7,Delivered,377
DEL00636,ORD00636,11,Delivered,489
DEL00637,ORD00637,14,Delivered,432
DEL00638,ORD00638,8,Delivered,475
DEL00639,ORD00639,8,Delayed,395
DEL00640,ORD00640,6,Delivered,91
DEL00641,ORD00641,4,Delivered,118
DEL00642,ORD00642,8,Delivered,96
DEL00643,ORD00643,13,Delayed,294
DEL00644,ORD00644,7,Delivered,278
DEL00645,ORD00645,13,Delayed,152
DEL00646,ORD00646,6,Delayed,382
DEL00647,ORD00647,6,Delivered,319
DEL00648,ORD00648,6,Delivered,77
DEL00649,ORD00649,10,Delivered,384
DEL00650,ORD00650,2,Delivered,148
DEL00651,ORD00651,6,Delivered,146
DEL00652,ORD00652,7,Delivered,338
DEL00653,ORD00653,8,Delayed,263
DEL00654,ORD00654,8,Delivered,136
DEL00655,ORD00655,10,Delayed,242
DEL00656,ORD00656,10,Delivered,477
DEL00657,ORD00657,13,Delivered,348
DEL00658,ORD00658,5,Delayed,221
DEL00659,ORD00659,3,Delivered,226
DEL00660,ORD00660,12,Delivered,230
DEL00661,ORD00661,7,Delivered,457
DEL00662,ORD00662,5,Delivered,304
DEL00663,ORD00663,6,Delivered,246
