order_item_id,order_id,product_id,seller_id,quantity
ITEM00060,ORD09997,PROD0358,SELL0209,2
ITEM00061,ORD02788,PROD0178,SELL0268,3
ITEM00062,ORD08564,PROD0486,SELL0140,2
ITEM00063,ORD01969,PROD0111,SELL0161,4
ITEM00064,ORD04988,PROD0008,SELL0271,4
ITEM00065,ORD05038,PROD0229,SELL0141,1
ITEM00066,ORD07400,PROD0100,SELL0245,2
ITEM00067,ORD09416,PROD0322,SELL0215,1
ITEM00068,ORD07981,PROD0178,SELL0209,3
ITEM00069,ORD07198,PROD0249,SELL0293,1
ITEM00070,ORD06306,PROD0064,SELL0260,2
ITEM00071,ORD04738,PROD0135,SELL0077,3
ITEM00072,ORD02037,PROD0045,SELL0260,1
ITEM00073,ORD09787,PROD0162,SELL0134,3
ITEM00074,ORD05132,PROD0040,SELL0300,2
ITEM00075,ORD04742,PROD0054,SELL0189,2
ITEM00076,ORD08420,PROD0491,SELL0222,2
ITEM00077,ORD05100,PROD0281,SELL0129,1
ITEM00078,ORD01093,PROD0493,SELL0219,1
ITEM00079,ORD07397,PROD0025,SELL0195,3
ITEM00080,ORD09943,PROD0466,SELL0061,3
ITEM00081,ORD05013,PROD0167,SELL0109,2
ITEM00082,ORD08066,PROD0353,SELL0179,2
ITEM00083,ORD00329,PROD0050,SELL0185,4
ITEM00084,ORD01567,PROD0142,SELL0223,1
ITEM00085,ORD06220,PROD0351,SELL0153,1
ITEM00086,ORD05746,PROD0452,SELL0243,2
ITEM00087,ORD03077,PROD0244,SELL0218,3
ITEM00088,ORD00119,PROD0371,SELL0046,2
ITEM00089,ORD04377,PROD0037,SELL0252,1
ITEM00090,ORD00256,PROD0317,SELL0003,4
ITEM00091,ORD01824,PROD0294,SELL0192,4
ITEM00092,ORD01674,PROD0337,SELL0154,3
ITEM00093,ORD01666,PROD0160,SELL0299,3
ITEM00094,ORD01617,PROD0144,SELL0299,3
ITEM00095,ORD05356,PROD0273,SELL0097,4
ITEM00096,ORD03485,PROD0197,SELL0282,1
ITEM00097,ORD07652,PROD0090,SELL0202,4
ITEM00098,ORD01277,PROD0433,SELL0265,1
ITEM00099,ORD08768,PROD0132,SELL0124,1
ITEM00100,ORD06269,PROD0424,SELL0277,3
ITEM00101,ORD08675,PROD0072,SELL0240,2
ITEM00102,ORD03202,PROD0334,SELL0012,1
ITEM00103,ORD07466,PROD0476,SELL0009,3
ITEM00104,ORD06311,PROD0142,SELL0129,3
ITEM00105,ORD00053,PROD0121,SELL0012,1
ITEM00106,ORD06188,PROD0344,SELL0002,3
ITEM00107,ORD05860,PROD0366,SELL0064,1
ITEM00108,ORD08383,PROD0043,SELL0263,4
ITEM00109,ORD03781,PROD0109,SELL0028,1
ITEM00110,ORD02906,PROD0253,SELL0194,2
ITEM00111,ORD02273,PROD0414,SELL0234,2
ITEM00112,ORD02726,PROD0106,SELL0255,2
ITEM00113,ORD06992,PROD0314,SELL0166,1
ITEM00114,ORD04289,PROD0426,SELL0107,2
ITEM00115,ORD06322,PROD0456,SELL0023,3
ITEM00116,ORD09587,PROD0025,SELL0134,4
ITEM00117,ORD03831,PROD0183,SELL0108,3
ITEM00118,ORD02308,PROD0085,SELL0215,3
ITEM00119,ORD04263,PROD0302,SELL0106,1
ITEM00120,ORD05636,PROD0441,SELL0108,4
ITEM00121,ORD03111,PROD0394,SELL0157,3
ITEM00122,ORD01582,PROD0100,SELL0178,4
ITEM00123,ORD04850,PROD0075,SELL0216,1
ITEM00124,ORD06224,PROD0422,SELL0032,1
ITEM00125,ORD09996,PROD0288,SELL0235,2
ITEM00126,ORD07653,PROD0131,SELL0006,3
ITEM00127,ORD01470,PROD0133,SELL0125,1
ITEM00128,ORD06337,PROD0149,SELL0047,1
ITEM00129,ORD09962,PROD0315,SELL0046,2
ITEM00130,ORD07115,PROD0188,SELL0215,3
ITEM00131,ORD00810,PROD0499,SELL0081,3
ITEM00132,ORD04728,PROD0454,SELL0089,4
ITEM00133,ORD00668,PROD0022,SELL0212,2
ITEM00134,ORD08848,PROD0386,SELL0295,2
ITEM00135,ORD02741,PROD0097,SELL0267,3
ITEM00136,ORD03337,PROD0185,SELL0237,2
ITEM00137,ORD08811,PROD0331,SELL0164,3
ITEM00138,ORD06018,PROD0449,SELL0288,2
ITEM00139,ORD02550,PROD0167,SELL0033,4
ITEM00140,ORD04567,PROD0445,SELL0249,3
ITEM00141,ORD02883,PROD0306,SELL0139,4
ITEM00142,ORD07511,PROD0182,SELL0204,3
ITEM00143,ORD05156,PROD0053,SELL0084,3
ITEM00144,ORD07138,PROD0104,SELL0275,2
ITEM00145,ORD07015,PROD0252,SELL0209,4
ITEM00146,ORD05687,PROD0396,SELL0233,1
ITEM00147,ORD03444,PROD0042,SELL0002,1
ITEM00148,ORD02747,PROD0066,SELL0037,2
ITEM00149,ORD03679,PROD0330,SELL0265,4
ITEM00150,ORD05840,PROD0403,SELL0108,3
ITEM00151,ORD02926,PROD0038,SELL0155,3
ITEM00152,ORD08378,PROD0110,SELL0172,3
ITEM00153,ORD05433,PROD0387,SELL0233,3
ITEM00154,ORD09239,PROD0260,SELL0270,2
ITEM00155,ORD06963,PROD0454,SELL0267,2
ITEM00156,ORD09207,PROD0355,SELL0066,3
ITEM00157,ORD02469,PROD0191,SELL0147,2
ITEM00158,ORD00589,PROD0320,SELL0099,3
ITEM00159,ORD04078,PROD0478,SELL0174,2
ITEM00160,ORD01050,PROD0181,SELL0033,4
ITEM00161,ORD03207,PROD0349,SELL0147,4
ITEM00162,ORD06881,PROD0485,SELL0011,4
ITEM00163,ORD08726,PROD0371,SELL0294,2
ITEM00164,ORD04191,PROD0241,SELL0053,3
ITEM00165,ORD07796,PROD0400,SELL0165,4
ITEM00166,ORD01727,PROD0009,SELL0280,1
ITEM00167,ORD01259,PROD0020,SELL0110,1
ITEM00168,ORD02660,PROD0092,SELL0053,2
ITEM00169,ORD03435,PROD0299,SELL0174,3
ITEM00170,ORD01747,PROD0092,SELL0050,4
ITEM00171,ORD09770,PROD0263,SELL0115,2
ITEM00172,ORD03130,PROD0079,SELL0285,3
ITEM00173,ORD04250,PROD0051,SELL0135,2
ITEM00174,ORD02692,PROD0210,SELL0119,2
ITEM00175,ORD06758,PROD0381,SELL0066,1
ITEM00176,ORD04833,PROD0136,SELL0164,2
ITEM00177,ORD07780,PROD0055,SELL0173,1
ITEM00178,ORD04370,PROD0165,SELL0064,4
ITEM00179,ORD08004,PROD0279,SELL0226,4
ITEM00180,ORD09019,PROD0257,SELL0017,1
ITEM00181,ORD02043,PROD0328,SELL0181,1
ITEM00182,ORD03409,PROD0092,SELL0217,3
ITEM00183,ORD03051,PROD0101,SELL0090,4
ITEM00184,ORD03116,PROD0173,SELL0182,3
ITEM00185,ORD06792,PROD0313,SELL0021,2
ITEM00186,ORD03150,PROD0368,SELL0199,2
ITEM00187,ORD01419,PROD0018,SELL0175,4
ITEM00188,ORD01358,PROD0291,SELL0233,2
ITEM00189,ORD02884,PROD0103,SELL0281,1
ITEM00190,ORD05801,PROD0151,SELL0175,3
ITEM00191,ORD02256,PROD0233,SELL0287,4
ITEM00192,ORD07161,PROD0328,SELL0083,4
ITEM00193,ORD00109,PROD0451,SELL0094,2
ITEM00194,ORD05403,PROD0220,SELL0146,1
ITEM00195,ORD09557,PROD0120,SELL0008,4
ITEM00196,ORD08337,PROD0311,SELL0041,3
ITEM00197,ORD00204,PROD0247,SELL0288,4
ITEM00198,ORD08118,PROD0481,SELL0292,4
ITEM00199,ORD09331,PROD0293,SELL0290,2
ITEM00200,ORD08596,PROD0487,SELL0056,1
ITEM00201,ORD09309,PROD0149,SELL0288,4
ITEM00202,ORD04471,PROD0200,SELL0061,2
ITEM00203,ORD03842,PROD0494,SELL0043,1
ITEM00204,ORD00592,PROD0073,SELL0149,1
ITEM00205,ORD05936,PROD0173,SELL0058,4
ITEM00206,ORD05356,PROD0267,SELL0203,2
ITEM00207,ORD07424,PROD0108,SELL0171,2
ITEM00208,ORD03322,PROD0085,SELL0243,1
ITEM00209,ORD02140,PROD0259,SELL0206,4
ITEM00210,ORD07119,PROD0257,SELL0222,3
ITEM00211,ORD08837,PROD0427,SELL0138,2
ITEM00212,ORD01141,PROD0046,SELL0198,2
ITEM00213,ORD01099,PROD0031,SELL0208,3
ITEM00214,ORD01381,PROD0157,SELL0130,4
ITEM00215,ORD03388,PROD0403,SELL0207,3
ITEM00216,ORD04755,PROD0384,SELL0103,1
ITEM00217,ORD00299,PROD0175,SELL0182,4
ITEM00218,ORD08115,PROD0034,SELL0024,2
ITEM00219,ORD00902,PROD0339,SELL0074,4
ITEM00220,ORD05416,PROD0294,SELL0213,1
ITEM00221,ORD09130,PROD0472,SELL0280,3
ITEM00222,ORD08979,PROD0197,SELL0232,2
ITEM00223,ORD05436,PROD0445,SELL0267,3
ITEM00224,ORD03340,PROD0131,SELL0083,2
ITEM00225,ORD01636,PROD0135,SELL0291,3
ITEM00226,ORD05463,PROD0086,SELL0052,2
ITEM00227,ORD05663,PROD0363,SELL0281,4
ITEM00228,ORD00744,PROD0218,SELL0072,1
ITEM00229,ORD08392,PROD0056,SELL0283,1
ITEM00230,ORD04466,PROD0025,SELL0295,1
ITEM00231,ORD05194,PROD0064,SELL0155,1
ITEM00232,ORD04782,PROD0002,SELL0184,1
ITEM00233,ORD09149,PROD0179,SELL0008,1
ITEM00234,ORD03968,PROD0346,SELL0137,4
ITEM00235,ORD04469,PROD0367,SELL0083,4
ITEM00236,ORD03591,PROD0402,SELL0213,3
ITEM00237,ORD01183,PROD0456,SELL0094,2
ITEM00238,ORD06750,PROD0156,SELL0232,2
ITEM00239,ORD05248,PROD0355,SELL0137,2
ITEM00240,ORD09420,PROD0379,SELL0092,3
ITEM00241,ORD05580,PROD0109,SELL0204,1
ITEM00242,ORD04739,PROD0065,SELL0130,1
ITEM00243,ORD08797,PROD0489,SELL0043,4
ITEM00244,ORD04640,PROD0363,SELL0142,2
ITEM00245,ORD06020,PROD0345,SELL0122,4
ITEM00246,ORD08650,PROD0334,SELL0173,2
ITEM00247,ORD07409,PROD0407,SELL0222,2
ITEM00248,ORD00314,PROD0292,SELL0051,1
ITEM00249,ORD02711,PROD0079,SELL0158,4
ITEM00250,ORD06387,PROD0063,SELL0133,2
ITEM00251,ORD08797,PROD0021,SELL0250,1
ITEM00252,ORD02645,PROD0005,SELL0240,1
ITEM00253,ORD09952,PROD0223,SELL0127,3
ITEM00254,ORD01664,PROD0426,SELL0163,1
ITEM00255,ORD01226,PROD0241,SELL0175,2
ITEM00256,ORD03863,PROD0061,SELL0226,1
ITEM00257,ORD02217,PROD0344,SELL0180,2
ITEM00258,ORD03920,PROD0256,SELL0243,1
ITEM00259,ORD08707,PROD0200,SELL0027,3
ITEM00260,ORD03862,PROD0240,SELL0246,3
ITEM00261,ORD09017,PROD0236,SELL0093,3
ITEM00262,ORD03250,PROD0240,SELL0045,4
ITEM00263,ORD02267,PROD0019,SELL0059,3
ITEM00264,ORD03776,PROD0123,SELL0117,1
ITEM00265,ORD00122,PROD0103,SELL0096,3
ITEM00266,ORD06272,PROD0295,SELL0213,3
ITEM00267,ORD07292,PROD0391,SELL0129,1
ITEM00268,ORD03127,PROD0474,SELL0121,1
ITEM00269,ORD01645,PROD0183,SELL0047,4
ITEM00270,ORD08244,PROD0117,SELL0149,3
ITEM00271,ORD02587,PROD0073,SELL0212,4
ITEM00272,ORD03236,PROD0045,SELL0189,3
ITEM00273,ORD03478,PROD0010,SELL0016,2
ITEM00274,ORD05099,PROD0355,SELL0292,1
ITEM00275,ORD04043,PROD0039,SELL0183,4
ITEM00276,ORD05614,PROD0101,SELL0195,4
ITEM00277,ORD08129,PROD0046,SELL0107,4
ITEM00278,ORD05016,PROD0215,SELL0101,3
ITEM00279,ORD01368,PROD0383,SELL0155,3
ITEM00280,ORD02766,PROD0095,SELL0264,2
ITEM00281,ORD03483,PROD0072,SELL0167,2
ITEM00282,ORD05060,PROD0262,SELL0165,2
ITEM00283,ORD09759,PROD0229,SELL0291,2
ITEM00284,ORD04189,PROD0306,SELL0209,3
ITEM00285,ORD07179,PROD0234,SELL0162,2
ITEM00286,ORD03625,PROD0178,SELL0091,1
ITEM00287,ORD09953,PROD0255,SELL0001,4
ITEM00288,ORD04821,PROD0004,SELL0222,3
ITEM00289,ORD01448,PROD0074,SELL0101,1
ITEM00290,ORD05300,PROD0144,SELL0021,2
ITEM00291,ORD05050,PROD0134,SELL0236,2
ITEM00292,ORD00137,PROD0453,SELL0232,3
ITEM00293,ORD00239,PROD0055,SELL0205,2
ITEM00294,ORD02323,PROD0255,SELL0011,2
ITEM00295,ORD04413,PROD0293,SELL0059,3
ITEM00296,ORD01675,PROD0444,SELL0009,3
ITEM00297,ORD02055,PROD0195,SELL0204,2
ITEM00298,ORD06774,PROD0479,SELL0153,2
ITEM00299,ORD07610,PROD0478,SELL0079,1
ITEM00300,ORD03072,PROD0467,SELL0208,3
ITEM00301,ORD05133,PROD0482,SELL0146,2
ITEM00302,ORD06350,PROD0250,SELL0215,4
ITEM00303,ORD07103,PROD0246,SELL0157,4
ITEM00304,ORD07854,PROD0323,SELL0096,4
ITEM00305,ORD09763,PROD0264,SELL0210,2
ITEM00306,ORD00079,PROD0457,SELL0046,2
ITEM00307,ORD03378,PROD0113,SELL0068,4
ITEM00308,ORD09191,PROD0378,SELL0282,2
ITEM00309,ORD01551,PROD0425,SELL0232,1
ITEM00310,ORD02802,PROD0329,SELL0214,4
ITEM00311,ORD01977,PROD0309,SELL0291,4
ITEM00312,ORD01156,PROD0152,SELL0145,1
ITEM00313,ORD08849,PROD0181,SELL0062,3
ITEM00314,ORD07532,PROD0182,SELL0217,1
ITEM00315,ORD06813,PROD0379,SELL0022,2
ITEM00316,ORD08925,PROD0145,SELL0299,3
ITEM00317,ORD02462,PROD0204,SELL0015,4
ITEM00318,ORD08445,PROD0451,SELL0095,2
ITEM00319,ORD08221,PROD0235,SELL0290,3
ITEM00320,ORD06619,PROD0037,SELL0158,1
ITEM00321,ORD00177,PROD0290,SELL0195,4
ITEM00322,ORD01146,PROD0345,SELL0189,2
ITEM00323,ORD03113,PROD0081,SELL0173,4
ITEM00324,ORD08648,PROD0307,SELL0024,3
ITEM00325,ORD00710,PROD0217,SELL0292,1
ITEM00326,ORD03134,PROD0029,SELL0114,3
ITEM00327,ORD07908,PROD0378,SELL0037,1
ITEM00328,ORD03015,PROD0026,SELL0071,4
ITEM00329,ORD03483,PROD0013,SELL0072,2
ITEM00330,ORD08654,PROD0321,SELL0186,3
ITEM00331,ORD01596,PROD0356,SELL0072,2
ITEM00332,ORD00577,PROD0238,SELL0079,2
ITEM00333,ORD03228,PROD0024,SELL0105,2
ITEM00334,ORD06090,PROD0377,SELL0284,2
ITEM00335,ORD03647,PROD0115,SELL0296,3
ITEM00336,ORD01108,PROD0055,SELL0062,2
ITEM00337,ORD09545,PROD0255,SELL0241,2
ITEM00338,ORD08865,PROD0422,SELL0235,2
ITEM00339,ORD07193,PROD0283,SELL0240,4
ITEM00340,ORD07170,PROD0483,SELL0274,2
ITEM00341,ORD04029,PROD0201,SELL0004,3
ITEM00342,ORD02988,PROD0067,SELL0197,4
ITEM00343,ORD05391,PROD0054,SELL0156,3
ITEM00344,ORD04264,PROD0408,SELL0261,4
ITEM00345,ORD05552,PROD0236,SELL0139,2
ITEM00346,ORD00388,PROD0460,SELL0207,2
ITEM00347,ORD00381,PROD0196,SELL0271,1
ITEM00348,ORD05070,PROD0347,SELL0286,3
ITEM00349,ORD09274,PROD0315,SELL0064,4
ITEM00350,ORD02314,PROD0026,SELL0089,1
ITEM00351,ORD01032,PROD0107,SELL0006,1
ITEM00352,ORD08483,PROD0140,SELL0122,2
ITEM00353,ORD09585,PROD0062,SELL0149,1
ITEM00354,ORD09490,PROD0362,SELL0282,1
ITEM00355,ORD01237,PROD0359,SELL0225,4
ITEM00356,ORD04083,PROD0458,SELL0100,1
ITEM00357,ORD05532,PROD0001,SELL0233,3
ITEM00358,ORD09363,PROD0492,SELL0174,1
ITEM00359,ORD04625,PROD0145,SELL0123,2
ITEM00360,ORD07226,PROD0050,SELL0086,1
ITEM00361,ORD02328,PROD0362,SELL0267,3
ITEM00362,ORD04321,PROD0391,SELL0058,4
ITEM00363,ORD01417,PROD0346,SELL0194,2
ITEM00364,ORD06693,PROD0415,SELL0092,3
ITEM00365,ORD00954,PROD0267,SELL0270,3
ITEM00366,ORD01879,PROD0484,SELL0220,2
ITEM00367,ORD02175,PROD0124,SELL0260,1
ITEM00368,ORD03209,PROD0251,SELL0008,3
ITEM00369,ORD07910,PROD0365,SELL0151,1
ITEM00370,ORD00618,PROD0125,SELL0244,4
ITEM00371,ORD02601,PROD0090,SELL0213,3
ITEM00372,ORD09847,PROD0138,SELL0063,3
ITEM00373,ORD02108,PROD0185,SELL0274,2
ITEM00374,ORD08625,PROD0180,SELL0043,4
ITEM00375,ORD03839,PROD0162,SELL0253,1
ITEM00376,ORD01944,PROD0211,SELL0145,3
ITEM00377,ORD07107,PROD0211,SELL0257,3
ITEM00378,ORD07846,PROD0055,SELL0098,2
ITEM00379,ORD00962,PROD0406,SELL0052,1
ITEM00380,ORD02913,PROD0427,SELL0052,3
ITEM00381,ORD08543,PROD0396,SELL0175,1
ITEM00382,ORD01613,PROD0283,SELL0189,1
ITEM00383,ORD01979,PROD0424,SELL0028,1
ITEM00384,ORD04674,PROD0197,SELL0024,2
ITEM00385,ORD03135,PROD0393,SELL0190,2
ITEM00386,ORD05536,PROD0325,SELL0204,2
ITEM00387,ORD08360,PROD0304,SELL0008,1
ITEM00388,ORD04435,PROD0493,SELL0025,1
ITEM00389,ORD02304,PROD0355,SELL0125,3
ITEM00390,ORD07026,PROD0117,SELL0042,4
ITEM00391,ORD08114,PROD0419,SELL0196,4
ITEM00392,ORD00804,PROD0074,SELL0232,1
ITEM00393,ORD06506,PROD0288,SELL0299,2
ITEM00394,ORD07589,PROD0271,SELL0285,3
ITEM00395,ORD07677,PROD0263,SELL0236,1
ITEM00396,ORD08934,PROD0040,SELL0102,2
ITEM00397,ORD05033,PROD0256,SELL0228,1
ITEM00398,ORD05704,PROD0500,SELL0046,1
ITEM00399,ORD04187,PROD0243,SELL0120,1
ITEM00400,ORD09090,PROD0016,SELL0095,2
ITEM00401,ORD01547,PROD0111,SELL0059,1
ITEM00402,ORD04884,PROD0430,SELL0262,2
ITEM00403,ORD05097,PROD0323,SELL0048,3
ITEM00404,ORD03835,PROD0011,SELL0141,3
ITEM00405,ORD05065,PROD0196,SELL0291,4
ITEM00406,ORD08725,PROD0321,SELL0152,2
ITEM00407,ORD05369,PROD0289,SELL0212,2
ITEM00408,ORD04921,PROD0297,SELL0009,1
ITEM00409,ORD01499,PROD0303,SELL0232,4
ITEM00410,ORD08618,PROD0369,SELL0116,2
ITEM00411,ORD04535,PROD0185,SELL0004,1
ITEM00412,ORD04233,PROD0054,SELL0187,1
ITEM00413,ORD01420,PROD0102,SELL0023,2
ITEM00414,ORD00432,PROD0227,SELL0200,4
ITEM00415,ORD01156,PROD0245,SELL0003,4
ITEM00416,ORD01742,PROD0199,SELL0206,3
ITEM00417,ORD06780,PROD0160,SELL0276,2
ITEM00418,ORD00508,PROD0477,SELL0268,4
ITEM00419,ORD02073,PROD0272,SELL0159,1
ITEM00420,ORD08387,PROD0055,SELL0274,4
ITEM00421,ORD09406,PROD0202,SELL0072,2
ITEM00422,ORD04601,PROD0131,SELL0132,1
ITEM00423,ORD05351,PROD0190,SELL0226,2
ITEM00424,ORD05065,PROD0256,SELL0237,2
ITEM00425,ORD01359,PROD0405,SELL0114,4
ITEM00426,ORD03212,PROD0333,SELL0207,2
ITEM00427,ORD00420,PROD0363,SELL0299,1
ITEM00428,ORD06688,PROD0004,SELL0140,3
ITEM00429,ORD01795,PROD0245,SELL0081,2
ITEM00430,ORD01119,PROD0458,SELL0015,1
ITEM00431,ORD07191,PROD0029,SELL0200,4
ITEM00432,ORD08635,PROD0472,SELL0193,2
ITEM00433,ORD07175,PROD0069,SELL0052,3
ITEM00434,ORD09090,PROD0295,SELL0111,3
ITEM00435,ORD08415,PROD0482,SELL0129,1
ITEM00436,ORD04993,PROD0247,SELL0021,3
ITEM00437,ORD07481,PROD0046,SELL0082,4
ITEM00438,ORD05205,PROD0199,SELL0178,4
ITEM00439,ORD04560,PROD0052,SELL0220,3
ITEM00440,ORD06473,PROD0200,SELL0215,4
ITEM00441,ORD01559,PROD0172,SELL0235,1
ITEM00442,ORD01363,PROD0421,SELL0061,2
ITEM00443,ORD00639,PROD0480,SELL0254,1
ITEM00444,ORD01714,PROD0268,SELL0010,3
ITEM00445,ORD08626,PROD0394,SELL0291,2
ITEM00446,ORD06017,PROD0292,SELL0217,4
ITEM00447,ORD09662,PROD0414,SELL0096,4
ITEM00448,ORD02989,PROD0186,SELL0174,2
ITEM00449,ORD05656,PROD0236,SELL0216,1
ITEM00450,ORD05726,PROD0015,SELL0122,2
ITEM00451,ORD05689,PROD0447,SELL0263,3
ITEM00452,ORD08774,PROD0025,SELL0265,4
ITEM00453,ORD01075,PROD0259,SELL0221,2
ITEM00454,ORD00165,PROD0420,SELL0130,2
ITEM00455,ORD04592,PROD0489,SELL0075,2
ITEM00456,ORD09711,PROD0309,SELL0254,3
ITEM00457,ORD03554,PROD0067,SELL0064,1
ITEM00458,ORD01058,PROD0365,SELL0124,2
ITEM00459,ORD09551,PROD0279,SELL0290,2
ITEM00460,ORD00158,PROD0290,SELL0008,3
ITEM00461,ORD00121,PROD0025,SELL0127,4
ITEM00462,ORD06888,PROD0177,SELL0284,3
ITEM00463,ORD09294,PROD0339,SELL0009,1
ITEM00464,ORD04982,PROD0022,SELL0174,4
ITEM00465,ORD05454,PROD0377,SELL0001,2
ITEM00466,ORD05767,PROD0231,SELL0281,4
ITEM00467,ORD00611,PROD0345,SELL0024,3
ITEM00468,ORD00923,PROD0074,SELL0237,1
ITEM00469,ORD04444,PROD0201,SELL0099,4
ITEM00470,ORD09907,PROD0440,SELL0035,1
ITEM00471,ORD08460,PROD0392,SELL0099,4
ITEM00472,ORD04370,PROD0272,SELL0277,2
ITEM00473,ORD06233,PROD0069,SELL0210,4
ITEM00474,ORD01303,PROD0212,SELL0100,4
ITEM00475,ORD07293,PROD0344,SELL0244,1
ITEM00476,ORD07462,PROD0470,SELL0235,3
ITEM00477,ORD03035,PROD0307,SELL0211,3
ITEM00478,ORD02948,PROD0353,SELL0197,1
ITEM00479,ORD05858,PROD0438,SELL0140,4
ITEM00480,ORD08846,PROD0279,SELL0046,3
ITEM00481,ORD01578,PROD0354,SELL0071,3
ITEM00482,ORD05373,PROD0427,SELL0084,4
ITEM00483,ORD07739,PROD0019,SELL0186,1
ITEM00484,ORD08737,PROD0412,SELL0242,3
ITEM00485,ORD05538,PROD0021,SELL0165,4
ITEM00486,ORD02672,PROD0136,SELL0152,1
ITEM00487,ORD08905,PROD0381,SELL0275,4
ITEM00488,ORD07241,PROD0265,SELL0189,1
ITEM00489,ORD01662,PROD0116,SELL0294,1
ITEM00490,ORD09454,PROD0103,SELL0270,4
ITEM00491,ORD01020,PROD0225,SELL0143,1
ITEM00492,ORD04896,PROD0449,SELL0087,1
ITEM00493,ORD01659,PROD0124,SELL0142,3
ITEM00494,ORD03471,PROD0283,SELL0090,1
ITEM00495,ORD05090,PROD0009,SELL0150,4
ITEM00496,ORD02899,PROD0160,SELL0244,4
ITEM00497,ORD03212,PROD0408,SELL0184,4
ITEM00498,ORD03031,PROD0111,SELL0211,2
ITEM00499,ORD07890,PROD0469,SELL0117,2
ITEM00500,ORD00777,PROD0257,SELL0293,1
ITEM00501,ORD03964,PROD0157,SELL0164,3
ITEM00502,ORD05078,PROD0204,SELL0257,3
ITEM00503,ORD04080,PROD0494,SELL0092,1
ITEM00504,ORD00689,PROD0444,SELL0165,3
ITEM00505,ORD09852,PROD0199,SELL0288,4
ITEM00506,ORD01667,PROD0250,SELL0236,2
ITEM00507,ORD00938,PROD0401,SELL0242,1
ITEM00508,ORD09387,PROD0318,SELL0039,3
ITEM00509,ORD06502,PROD0229,SELL0215,1
ITEM00510,ORD07625,PROD0010,SELL0295,3
ITEM00511,ORD01935,PROD0048,SELL0021,2
ITEM00512,ORD05753,PROD0207,SELL0084,3
ITEM00513,ORD07905,PROD0355,SELL0204,2
ITEM00514,ORD01130,PROD0030,SELL0018,2
ITEM00515,ORD08630,PROD0014,SELL0178,4
ITEM00516,ORD09673,PROD0499,SELL0176,3
